,CollegePlayerType,Plane,Connection,Rotation,BatSpeed,RotationalAcceleration,OnPlaneEfficiency,Power,TimeToContact,PeakHandSpeed,H1,HH,armVelo,exitVelo
0,Impact Player,56.0,44.0,53.0,51.7,9.0,69.0,1.57,0.17,14.0,3.22,13.19,54.0,56.66666666666666
1,Impact Player,60.0,52.0,66.0,54.5,13.1,73.0,1.85,0.16,17.0,3.22,13.19,54.0,56.66666666666666
2,Impact Player,48.0,47.0,47.0,56.0,7.1,61.0,1.72,0.18,16.5,3.19,12.53,54.333333333333336,57.0
3,Impact Player,47.0,44.0,50.0,59.6,8.0,60.0,2.11,0.17,17.6,3.19,12.53,54.333333333333336,57.0
4,Starter,60.0,52.0,62.0,60.4,12.0,73.0,2.39,0.15,19.0,3.4850000000000003,14.1,52.66666666666666,56.66666666666666
5,Starter,55.0,53.0,56.0,57.7,9.8,68.0,2.04,0.16,18.7,3.4850000000000003,14.1,52.66666666666666,56.66666666666666
6,Starter,52.0,45.0,61.0,58.3,11.6,65.0,2.02,0.17,17.7,3.72,15.79,51.0,52.66666666666666
7,Starter,46.0,42.0,52.0,58.7,8.6,58.0,1.92,0.18,17.1,3.72,15.79,51.0,52.66666666666666
8,Impact Player,56.0,63.0,58.0,50.0,10.7,69.0,1.42,0.17,14.8,3.55,14.54,50.66666666666666,58.333333333333336
9,Impact Player,59.0,69.0,52.0,53.0,8.6,72.0,1.57,0.18,14.8,3.55,14.54,50.66666666666666,58.333333333333336
10,Role Player,61.0,49.0,49.0,51.7,7.5,74.0,1.4,0.18,15.7,3.355,12.94,53.66666666666666,49.0
11,Role Player,50.0,54.0,49.0,52.4,7.7,62.0,1.34,0.19,17.4,3.355,12.94,53.66666666666666,49.0
12,Impact Player,46.0,42.0,61.0,64.0,11.7,58.0,2.36,0.17,19.3,3.005,12.11,60.333333333333336,57.333333333333336
13,Role Player,66.0,52.0,57.0,53.9,10.4,80.0,1.66,0.17,17.6,3.385,13.74,49.66666666666666,56.0
