,CollegePlayerType,Plane,Connection,Rotation,BatSpeed,RotationalAcceleration,OnPlaneEfficiency,Power,TimeToContact,PeakHandSpeed,H1,HH,armVelo,exitVelo
0,Starter,50.0,37.0,48.0,64.0,8.6,65.0,2.44,0.17,19.7,3.34,13.39,53.5,71.5
1,Starter,40.0,57.0,40.0,61.6,5.8,56.0,2.11,0.18,18.0,3.32,12.55,49.0,64.5
2,Starter,44.0,44.0,54.0,58.3,10.6,59.0,2.03,0.16,18.9,3.31,12.28,58.5,65.5
3,Starter,65.0,62.0,55.0,57.8,10.7,79.0,2.0,0.17,17.5,3.38,12.85,56.0,59.0
4,Role Player,61.0,63.0,38.0,53.7,5.3,76.0,1.53,0.18,15.9,3.25,13.19,59.5,66.0
5,Starter,61.0,45.0,74.0,59.8,17.7,75.0,1.99,0.17,19.9,3.11,12.65,52.0,79.5
6,Starter,53.0,49.0,48.0,59.4,8.4,68.0,2.18,0.17,17.0,3.3,12.84,52.5,67.0
7,Role Player,46.0,48.0,72.0,60.7,15.4,58.0,2.14,0.17,18.7,3.14,12.62,56.0,67.66666666666667
8,Role Player,60.0,58.0,57.0,57.4,10.4,73.0,2.15,0.15,17.3,3.08,12.1,53.66666666666666,58.0
9,Role Player,47.0,51.0,70.0,55.4,14.7,60.0,1.8,0.17,18.0,2.94,11.65,61.66666666666666,60.66666666666666
10,Starter,57.0,51.0,62.0,54.5,12.1,70.0,1.65,0.18,19.2,3.1,12.61,54.0,65.33333333333333
11,Starter,45.0,61.0,66.0,57.7,13.3,58.0,1.96,0.17,20.1,3.1,12.61,54.0,65.33333333333333
12,Impact Player,58.0,53.0,70.0,59.1,14.5,71.0,2.35,0.15,17.7,3.15,12.4,62.0,58.333333333333336
13,Starter,64.0,67.0,44.0,52.2,6.1,77.0,1.36,0.2,14.0,3.175,13.62,61.66666666666666,61.333333333333336
14,Role Player,61.0,39.0,58.0,59.4,10.5,74.0,1.99,0.17,19.2,3.33,13.06,57.0,67.33333333333333
15,Role Player,63.0,47.0,71.0,52.0,15.0,76.0,1.6,0.16,16.9,3.25,13.12,55.66666666666666,58.66666666666666
16,Impact Player,52.0,59.0,55.0,62.1,9.7,65.0,2.32,0.17,16.8,3.095,12.25,62.66666666666666,64.33333333333333
17,Impact Player,43.0,53.0,45.0,62.3,6.2,56.0,2.16,0.18,19.1,3.28,13.68,60.0,70.66666666666667
18,Role Player,59.0,60.0,56.0,55.4,10.0,73.0,1.66,0.18,17.6,3.355,13.7,56.66666666666666,61.66666666666666
