,CollegePlayerType,Plane,Connection,Rotation,BatSpeed,RotationalAcceleration,OnPlaneEfficiency,Power,TimeToContact,PeakHandSpeed,H1,HH,armVelo,exitVelo
48,Starter,59.0,60.0,55.0,56.5,11.0,74.0,1.97,0.16,17.3,3.0,12.4,59.0,62.0
49,Starter,65.0,42.0,75.0,55.6,16.5,78.0,2.23,0.14,17.9,3.05,12.25,60.0,55.0
50,Role Player,54.0,48.0,48.0,53.7,7.3,67.0,1.5,0.19,14.4,3.2,13.2,60.25,57.0
51,Starter,52.86046511627907,52.895348837209305,55.02325581395349,57.60319767441862,9.968313953488371,66.09883720930233,1.9597965116279068,0.16930232558139532,17.55058139534884,3.3,12.88,58.333333333333336,64.66666666666667
52,Starter,52.86046511627907,52.895348837209305,55.02325581395349,57.60319767441862,9.968313953488371,66.09883720930233,1.9597965116279068,0.16930232558139532,17.55058139534884,3.2,12.76,48.66666666666666,69.33333333333333
53,Role Player,52.0,54.0,54.0,61.0,10.4,67.0,2.23,0.18,19.4,3.25,12.81,53.333333333333336,66.0
54,Role Player,52.0,65.0,64.0,59.1,13.8,67.0,2.15,0.17,20.1,3.14,11.84,54.0,62.66666666666666
55,Impact Player,64.0,55.0,63.0,61.0,13.4,79.0,2.52,0.15,18.6,3.16,12.56,55.333333333333336,72.0
56,Impact Player,75.0,59.0,57.0,53.8,10.3,89.0,2.01,0.15,17.8,3.18,12.37,54.66666666666666,58.0
57,Role Player,52.86046511627907,52.895348837209305,55.02325581395349,57.60319767441862,9.968313953488371,66.09883720930233,1.9597965116279068,0.16930232558139532,17.55058139534884,3.43,13.93,59.0,64.0
58,Impact Player,53.0,61.0,53.0,62.7,10.3,68.0,2.38,0.17,19.0,3.04,12.22,53.66666666666666,66.33333333333333
59,Starter,59.0,43.0,29.0,55.1,2.1,74.0,1.57,0.2,15.6,3.07,11.99,54.0,60.333333333333336
60,Starter,71.0,46.0,58.0,58.3,12.0,85.0,2.29,0.15,18.1,3.15,12.81,58.66666666666666,63.66666666666666
61,Impact Player,60.0,50.0,55.0,58.7,10.9,75.0,2.2,0.16,16.8,3.17,11.93,55.333333333333336,68.33333333333333
62,Role Player,36.0,48.0,41.0,61.6,6.1,52.0,2.21,0.18,16.9,3.18,12.33,52.333333333333336,67.66666666666667
63,Role Player,32.0,58.0,59.0,57.2,12.3,48.0,2.09,0.16,16.3,3.19,12.75,52.333333333333336,67.0
64,Impact Player,66.0,55.0,51.0,60.5,9.5,81.0,2.31,0.16,17.4,3.29,12.97,56.333333333333336,66.66666666666667
65,Starter,74.0,45.0,45.0,53.7,7.5,89.0,1.74,0.17,17.4,3.01,11.25,59.0,61.66666666666666
66,Role Player,78.0,50.0,65.0,56.0,13.1,92.0,1.95,0.16,17.2,3.13,12.5,57.5,66.0
67,Starter,69.0,68.0,48.0,54.4,7.1,82.0,1.78,0.16,17.9,3.14,12.62,55.5,63.5
68,Impact Player,40.0,49.0,63.0,60.3,12.4,52.0,2.37,0.15,18.4,3.095,11.61,64.0,70.5
69,Starter,76.0,31.0,64.0,60.2,12.5,89.0,2.18,0.16,23.2,2.905,11.83,50.0,65.0
70,Role Player,52.86046511627907,52.895348837209305,55.02325581395349,57.60319767441862,9.968313953488371,66.09883720930233,1.9597965116279068,0.16930232558139532,17.55058139534884,3.205,12.4,54.0,71.5
71,Role Player,52.86046511627907,52.895348837209305,55.02325581395349,57.60319767441862,9.968313953488371,66.09883720930233,1.9597965116279068,0.16930232558139532,17.55058139534884,3.095,11.88,57.0,60.5
72,Starter,50.0,52.0,64.0,60.0,12.6,63.0,2.54,0.14,18.4,2.955,11.64,63.0,67.5
73,Starter,73.0,66.0,44.0,57.5,6.1,86.0,1.86,0.18,16.5,3.04,11.97,58.5,63.0
74,Starter,60.0,62.0,49.0,60.6,7.4,74.0,2.23,0.17,17.0,3.185,13.02,58.0,68.5
75,Starter,59.0,42.0,47.0,51.3,7.0,72.0,1.53,0.17,17.0,3.02,11.88,60.5,66.0
76,Starter,70.0,71.0,53.0,61.6,8.9,84.0,2.42,0.16,18.6,3.31,13.22,59.5,73.0
77,Starter,62.0,56.0,54.0,60.2,9.4,75.0,2.1,0.18,16.8,3.1100000000000003,12.25,61.0,72.0
78,Role Player,52.86046511627907,52.895348837209305,55.02325581395349,57.60319767441862,9.968313953488371,66.09883720930233,1.9597965116279068,0.16930232558139532,17.55058139534884,3.17,12.78,58.0,63.5
79,Starter,74.0,37.0,37.0,50.3,3.7,89.0,1.35,0.18,16.3,2.92,11.9,54.5,57.0
80,Starter,77.0,55.0,48.0,53.9,8.4,91.0,1.65,0.17,15.8,3.09,12.05,52.0,63.5
81,Role Player,62.0,61.0,46.0,57.7,7.7,76.0,1.81,0.18,16.7,3.32,13.49,62.0,65.0
82,Starter,32.0,58.0,55.0,59.7,10.7,48.0,1.95,0.18,19.3,3.27,13.39,52.0,70.5
83,Starter,49.0,65.0,57.0,56.3,11.6,64.0,1.84,0.17,18.1,3.31,12.53,55.0,54.0
84,Role Player,52.0,40.0,49.0,49.6,8.8,67.0,1.4,0.17,16.2,3.26,12.64,55.5,54.5
85,Role Player,33.0,54.0,51.0,57.2,9.6,49.0,1.79,0.18,15.2,3.55,14.31,42.5,64.5
86,Role Player,62.0,44.0,61.0,62.9,12.8,77.0,2.52,0.15,16.8,3.04,12.09,55.0,72.5
87,Starter,56.0,41.0,50.0,54.7,9.4,71.0,1.81,0.15,16.5,3.2,12.51,57.0,62.5
88,Starter,50.0,44.0,65.0,55.2,14.3,65.0,1.75,0.17,16.5,3.29,13.4,57.5,58.5
89,Role Player,54.0,57.0,53.0,56.9,10.2,69.0,1.93,0.16,16.4,3.23,15.89,54.5,64.0
90,Role Player,37.0,54.0,45.0,60.8,7.7,53.0,2.15,0.17,18.1,3.15,12.61,57.0,65.0
91,Role Player,64.0,47.0,33.0,58.4,3.7,79.0,1.8,0.18,17.2,3.11,12.31,53.5,70.0
92,Starter,28.0,36.0,44.0,63.9,7.1,43.0,2.19,0.18,19.2,2.96,11.54,59.0,69.0
93,Starter,49.0,52.0,73.0,60.7,17.3,64.0,2.43,0.14,19.0,3.17,12.38,61.0,71.0
94,Role Player,70.0,39.0,65.0,65.6,14.3,84.0,2.52,0.16,15.9,3.04,12.11,54.5,73.5
95,Role Player,42.0,38.0,51.0,54.6,9.5,58.0,2.0,0.15,19.7,3.21,12.74,55.0,64.0
96,Role Player,49.0,55.0,47.0,55.4,8.3,64.0,1.81,0.17,16.1,3.03,11.95,55.5,57.5
97,Role Player,59.0,52.0,52.0,48.6,8.6,73.0,1.3,0.18,15.1,3.38,13.47,48.0,54.5
98,Role Player,56.0,56.0,52.0,55.0,8.7,69.0,1.92,0.17,17.6,3.425,14.22,50.5,63.66666666666666
99,Starter,55.0,63.0,63.0,54.9,12.2,68.0,1.75,0.18,17.0,3.005,12.55,51.833333333333336,65.66666666666667
100,Starter,47.0,53.0,53.0,58.8,9.1,59.0,2.11,0.16,17.9,2.84,11.145,59.0,71.0
101,Starter,53.0,58.0,53.0,58.8,9.0,66.0,1.99,0.18,17.4,2.875,11.655,57.833333333333336,64.66666666666667
102,Role Player,39.0,67.0,50.0,57.1,8.1,51.0,1.81,0.19,17.3,2.825,11.9,49.5,71.33333333333333
103,Role Player,51.0,46.0,48.0,55.1,7.2,63.0,1.96,0.17,16.3,3.1100000000000003,12.715,48.333333333333336,62.66666666666666
104,Impact Player,60.0,58.0,67.0,61.9,13.8,73.0,2.52,0.15,18.5,3.095,12.065,52.0,70.66666666666667
105,Starter,59.0,65.0,66.0,54.1,13.3,72.0,1.89,0.16,17.7,2.88,12.055,50.16666666666666,70.0
106,Starter,72.0,58.0,79.0,57.6,21.1,86.0,2.36,0.14,17.6,2.84,11.65,62.0,64.33333333333333
107,Role Player,69.0,46.0,53.0,56.6,9.0,82.0,1.85,0.17,17.6,2.825,11.505,46.16666666666666,66.66666666666667
108,Role Player,47.0,53.0,48.0,52.0,7.2,60.0,1.39,0.19,17.0,2.985,12.44,51.5,60.66666666666666
109,Starter,52.0,42.0,68.0,63.0,13.9,64.0,2.44,0.16,19.9,2.9,11.535,62.66666666666666,73.0
110,Role Player,57.0,50.0,63.0,59.4,12.4,70.0,2.32,0.15,18.5,3.04,12.03,49.333333333333336,57.66666666666666
111,Role Player,54.0,57.0,75.0,60.0,16.4,67.0,2.32,0.15,18.9,2.82,11.47,47.333333333333336,66.66666666666667
112,Role Player,61.0,61.0,55.0,55.3,9.5,75.0,1.86,0.16,17.0,3.24,13.12,56.333333333333336,58.0
113,Role Player,53.0,38.0,71.0,61.4,15.3,66.0,2.59,0.14,16.0,3.175,13.06,56.333333333333336,61.0
114,Role Player,57.0,62.0,56.0,54.1,9.8,69.0,1.71,0.17,16.3,3.175,12.8,62.0,57.66666666666666
115,Role Player,54.0,68.0,36.0,56.1,4.6,69.0,1.74,0.18,17.7,3.1100000000000003,12.44,53.66666666666666,65.66666666666667
116,Role Player,56.0,56.0,57.0,61.6,10.3,69.0,2.35,0.16,17.7,3.075,12.43,62.333333333333336,66.33333333333333
117,Impact Player,48.0,52.0,64.0,61.4,12.7,61.0,2.26,0.16,17.8,3.045,12.07,57.66666666666666,63.333333333333336
118,Role Player,52.86046511627907,52.895348837209305,55.02325581395349,57.60319767441862,9.968313953488371,66.09883720930233,1.9597965116279068,0.16930232558139532,17.55058139534884,3.245,12.65,54.66666666666666,60.66666666666666
119,Impact Player,33.0,47.0,39.0,59.7,4.3,45.0,1.95,0.19,17.8,3.165,12.76,57.66666666666666,69.0
120,Role Player,46.0,53.0,54.0,51.7,9.4,58.0,1.46,0.18,15.5,3.045,11.92,50.66666666666666,65.66666666666667
121,Role Player,59.0,54.0,41.0,56.6,6.3,73.0,1.86,0.17,17.0,3.245,13.22,53.0,61.333333333333336
122,Role Player,37.0,52.0,42.0,59.1,5.4,49.0,1.77,0.19,18.3,2.895,11.69,58.0,60.0
123,Role Player,57.0,49.0,51.0,55.5,8.2,70.0,1.87,0.16,17.8,2.895,11.69,58.0,60.0
124,Role Player,54.0,55.0,40.0,49.5,4.8,67.0,1.35,0.18,15.2,2.895,11.69,58.0,60.0
125,Role Player,55.0,56.0,65.0,61.1,13.0,68.0,2.52,0.15,19.7,2.97,12.28,58.333333333333336,66.33333333333333
126,Role Player,29.0,45.0,42.0,61.5,5.4,41.0,2.09,0.19,15.9,2.79,11.53,60.66666666666666,66.33333333333333
127,Role Player,52.86046511627907,52.895348837209305,55.02325581395349,57.60319767441862,9.968313953488371,66.09883720930233,1.9597965116279068,0.16930232558139532,17.55058139534884,2.9850000000000003,11.9,59.333333333333336,63.333333333333336
128,Role Player,77.0,47.0,49.0,55.0,7.6,90.0,1.75,0.18,15.0,3.015,12.02,57.66666666666666,62.0
129,Role Player,57.0,54.0,77.0,59.2,18.1,70.0,2.32,0.15,20.5,3.095,12.03,56.333333333333336,65.33333333333333
130,Role Player,68.0,39.0,65.0,62.4,12.8,81.0,2.39,0.16,19.0,3.065,12.63,52.66666666666666,65.66666666666667
131,Starter,54.0,57.0,67.0,61.6,13.5,67.0,2.62,0.15,18.3,3.285,12.63,55.0,62.333333333333336
132,Role Player,55.0,61.0,79.0,53.2,18.8,68.0,1.86,0.16,18.5,3.29,12.85,45.333333333333336,52.0
133,Starter,62.0,65.0,55.0,59.2,9.6,75.0,2.24,0.16,17.1,3.305,12.475,58.5,60.66666666666666
134,Impact Player,56.0,58.0,64.0,60.8,12.6,69.0,2.39,0.16,20.3,3.03,11.845,57.5,69.66666666666667
135,Impact Player,46.0,49.0,75.0,59.5,16.9,59.0,2.38,0.15,20.1,2.98,11.555,59.66666666666666,64.33333333333333
136,Starter,64.0,68.0,61.0,56.9,11.7,77.0,2.07,0.16,18.6,3.16,12.395,61.333333333333336,62.66666666666666
137,Starter,51.0,65.0,58.0,60.5,10.8,64.0,2.34,0.17,21.4,2.94,11.545,67.33333333333333,70.0
138,Impact Player,30.0,44.0,56.0,66.3,10.0,42.0,2.76,0.16,18.3,3.27,11.75,55.5,74.66666666666667
139,Role Player,43.0,50.0,51.0,65.5,8.4,56.0,2.52,0.17,17.8,3.22,12.67,51.333333333333336,73.0
140,Role Player,59.0,50.0,49.0,55.4,7.5,73.0,1.81,0.17,15.9,2.975,11.41,56.333333333333336,60.333333333333336
141,Role Player,54.0,61.0,58.0,54.8,10.7,67.0,1.64,0.18,16.3,3.3600000000000003,13.01,57.5,57.66666666666666
142,Starter,58.0,52.0,51.0,64.1,8.5,71.0,2.54,0.17,17.9,3.085,11.57,56.0,68.33333333333333
143,Role Player,38.0,50.0,52.0,58.5,8.7,51.0,1.92,0.18,17.3,3.09,12.45,51.66666666666666,62.333333333333336
144,Role Player,41.0,52.0,54.0,58.9,9.3,54.0,1.96,0.17,17.5,3.17,12.445,53.0,66.0
145,Role Player,53.0,68.0,57.0,57.4,10.1,66.0,2.02,0.16,17.4,3.42,13.625,47.66666666666666,67.33333333333333
146,Impact Player,49.0,55.0,65.0,58.0,14.1,64.0,2.01,0.16,18.4,3.345,12.79,57.66666666666666,67.66666666666667
147,Role Player,51.0,62.0,37.0,52.9,4.8,66.0,1.44,0.19,14.9,3.125,12.005,43.0,54.333333333333336
148,Role Player,65.0,60.0,73.0,53.7,17.9,79.0,1.8,0.16,19.3,3.28,11.95,54.0,64.33333333333333
149,Role Player,56.0,51.0,39.0,53.0,5.7,71.0,1.64,0.17,16.8,2.92,11.825,53.5,61.0
150,Impact Player,61.0,59.0,47.0,59.6,8.1,76.0,1.93,0.19,17.5,3.3,12.215,53.66666666666666,67.0
151,Impact Player,41.0,58.0,54.0,63.3,9.2,53.0,2.36,0.17,19.5,3.045,11.75,60.16666666666666,63.333333333333336
152,Starter,68.0,55.0,50.0,54.9,7.9,82.0,1.98,0.15,13.9,3.035,11.955,50.5,61.0
153,Role Player,51.0,52.0,61.0,60.8,11.5,63.0,2.45,0.16,16.7,3.135,12.645,49.833333333333336,72.0
154,Starter,52.0,45.0,59.0,59.0,10.9,64.0,1.98,0.17,18.2,2.97,11.265,56.16666666666666,67.66666666666667
155,Role Player,62.0,59.0,47.0,56.9,7.0,75.0,1.78,0.18,17.5,3.01,12.555,55.833333333333336,63.66666666666666
156,Role Player,38.0,56.0,47.0,51.2,7.0,50.0,1.48,0.18,15.9,3.51,13.105,53.0,61.333333333333336
157,Role Player,65.0,43.0,77.0,59.1,18.4,78.0,2.2,0.16,18.9,3.535,14.24,51.0,68.0
158,Role Player,37.0,56.0,41.0,56.2,4.8,49.0,1.62,0.19,15.8,3.13,12.21,54.0,67.33333333333333
159,Starter,63.0,60.0,53.0,56.4,8.8,76.0,1.87,0.17,17.0,3.19,12.86,54.66666666666666,65.66666666666667
160,Impact Player,45.0,62.0,78.0,55.1,18.8,58.0,1.74,0.17,18.3,3.355,13.435,53.333333333333336,68.33333333333333
161,Role Player,40.0,46.0,52.0,61.5,9.9,55.0,2.38,0.16,18.9,3.295,13.04,52.333333333333336,69.0
162,Role Player,46.0,56.0,51.0,56.5,8.4,59.0,1.77,0.18,17.0,3.295,12.815,49.0,61.66666666666666
163,Role Player,66.0,74.0,76.0,59.5,17.0,80.0,2.35,0.15,18.7,3.095,12.195,50.66666666666666,67.33333333333333
164,Role Player,36.0,53.0,39.0,48.5,4.2,48.0,1.1,0.21,13.2,2.875,11.7,49.16666666666666,57.0
165,Starter,39.0,32.0,42.0,57.2,5.1,52.0,1.78,0.18,16.8,3.18,12.13,55.333333333333336,63.0
166,Starter,61.0,58.0,79.0,59.9,18.8,74.0,2.22,0.15,19.4,3.135,12.095,53.16666666666666,64.66666666666667
167,Starter,55.0,67.0,71.0,60.0,15.2,68.0,2.01,0.17,18.8,3.17,12.32,60.333333333333336,70.0
168,Role Player,62.0,64.0,53.0,59.9,8.8,76.0,1.89,0.18,16.7,3.27,13.36,58.5,64.0
169,Role Player,45.0,57.0,63.0,60.8,12.4,58.0,2.07,0.17,18.2,3.21,14.84,54.5,67.0
170,Starter,35.0,50.0,46.0,58.7,6.5,47.0,1.93,0.17,18.7,3.19,12.73,53.66666666666666,73.0
171,Starter,31.0,44.0,39.0,49.0,4.4,43.0,1.32,0.17,14.0,2.88,10.84,55.0,59.0
172,Starter,52.86046511627907,52.895348837209305,55.02325581395349,57.60319767441862,9.968313953488371,66.09883720930233,1.9597965116279068,0.16930232558139532,17.55058139534884,2.97,11.85,60.0,69.5
173,Starter,68.0,58.0,52.0,53.2,8.6,82.0,1.59,0.17,16.4,3.25,12.28,62.5,62.0
174,Starter,40.0,48.0,52.0,50.2,8.5,52.0,1.36,0.17,16.4,3.23,12.97,50.0,64.5
175,Starter,63.0,73.0,79.0,55.2,19.5,76.0,1.91,0.15,19.0,3.2,12.46,57.0,66.5
176,Role Player,66.0,54.0,54.0,51.4,9.2,80.0,1.5,0.17,15.8,2.94,11.64,57.0,61.0
177,Role Player,73.0,46.0,54.0,56.9,9.3,86.0,1.61,0.19,15.2,3.37,13.37,55.0,62.5
178,Role Player,73.0,57.0,46.0,49.4,6.5,87.0,1.31,0.17,15.9,2.84,11.14,58.5,61.0
179,Role Player,50.0,35.0,39.0,55.3,4.2,63.0,1.5,0.19,16.4,3.39,14.0,54.5,70.0
180,Starter,71.0,60.0,71.0,54.8,14.9,84.0,2.07,0.14,19.1,3.24,12.54,56.5,65.0
181,Impact Player,52.86046511627907,52.895348837209305,55.02325581395349,57.60319767441862,9.968313953488371,66.09883720930233,1.9597965116279068,0.16930232558139532,17.55058139534884,2.93,11.61,57.5,56.66666666666666
182,Starter,66.0,69.0,78.0,64.5,23.5,80.0,3.15,0.13,22.5,3.1,11.58,67.33333333333333,75.66666666666667
183,Role Player,52.86046511627907,52.895348837209305,55.02325581395349,57.60319767441862,9.968313953488371,66.09883720930233,1.9597965116279068,0.16930232558139532,17.55058139534884,2.88,11.81,59.0,60.66666666666666
184,Role Player,48.0,63.0,71.0,60.6,14.9,61.0,2.37,0.15,19.8,2.97,12.0,59.333333333333336,68.33333333333333
185,Role Player,53.0,50.0,78.0,54.5,18.9,66.0,2.07,0.14,17.7,3.5,14.51,57.333333333333336,62.66666666666666
186,Role Player,31.0,34.0,46.0,61.2,6.4,43.0,2.2,0.17,19.1,2.87,11.83,66.33333333333333,62.66666666666666
187,Role Player,37.0,52.0,49.0,64.3,7.7,49.0,2.44,0.17,19.4,2.7,11.43,61.5,67.0
188,Impact Player,63.0,54.0,59.0,63.3,12.3,77.0,2.47,0.16,19.2,2.92,11.65,71.5,73.33333333333333
189,Role Player,58.0,40.0,54.0,52.2,9.3,71.0,1.59,0.17,17.4,3.64,13.27,60.333333333333336,63.0
190,Role Player,73.0,74.0,60.0,56.0,11.4,87.0,1.69,0.18,18.0,2.79,11.64,60.333333333333336,62.0
191,Starter,55.0,54.0,75.0,66.6,16.4,68.0,2.86,0.15,19.9,3.14,12.56,63.0,68.33333333333333
192,Impact Player,52.86046511627907,52.895348837209305,55.02325581395349,57.60319767441862,9.968313953488371,66.09883720930233,1.9597965116279068,0.16930232558139532,17.55058139534884,2.81,11.25,64.0,58.0
193,Role Player,51.0,55.0,42.0,59.6,5.4,64.0,1.88,0.18,17.6,3.0,12.13,58.333333333333336,62.333333333333336
194,Starter,57.0,42.0,48.0,67.5,7.2,70.0,2.68,0.17,18.8,2.61,10.8,62.16666666666666,66.66666666666667
195,Role Player,45.0,52.0,66.0,61.0,13.3,58.0,2.13,0.16,18.3,3.09,12.24,54.0,63.5
196,Starter,61.0,51.0,50.0,59.6,8.1,74.0,1.94,0.17,18.1,2.98,11.5,52.5,64.0
197,Role Player,64.0,54.0,79.0,61.2,20.0,78.0,2.32,0.15,20.5,3.17,11.78,57.0,64.5
198,Impact Player,48.0,41.0,57.0,57.3,10.2,61.0,1.8,0.17,17.0,3.27,12.42,55.5,61.0
199,Starter,53.0,58.0,59.0,63.1,11.0,66.0,2.26,0.17,17.8,2.86,11.1,64.5,64.5
200,Role Player,55.0,38.0,57.0,58.7,10.3,68.0,2.09,0.16,18.3,3.17,12.49,62.0,57.5
201,Starter,57.0,48.0,58.0,57.8,10.6,69.0,1.84,0.17,18.2,3.15,11.91,51.5,64.5
202,Starter,66.0,61.0,61.0,57.3,11.7,80.0,1.9,0.16,20.4,3.01,11.41,61.0,67.5
203,Impact Player,57.0,58.0,52.0,61.0,8.5,70.0,2.23,0.16,16.8,2.99,11.32,56.5,64.5
204,Role Player,71.0,49.0,49.0,49.8,7.6,84.0,1.41,0.17,15.8,3.07,11.96,55.0,55.5
205,Role Player,55.0,58.0,62.0,61.1,12.0,68.0,2.35,0.17,17.1,3.47,13.64,53.16666666666666,65.66666666666667
206,Role Player,70.0,48.0,57.0,55.4,10.3,84.0,1.98,0.17,17.4,3.405,13.105,47.5,62.66666666666666
207,Starter,57.0,49.0,56.0,58.4,10.0,70.0,2.13,0.16,15.1,3.175,13.19,56.16666666666666,67.33333333333333
208,Starter,52.0,46.0,47.0,61.7,6.8,65.0,2.46,0.16,17.2,3.26,13.07,50.0,62.333333333333336
209,Role Player,48.0,54.0,49.0,51.7,7.7,61.0,1.56,0.18,14.6,3.135,12.385000000000002,46.833333333333336,60.0
210,Starter,54.0,48.0,53.0,53.9,8.9,67.0,1.64,0.18,16.4,3.65,13.245,49.333333333333336,59.66666666666666
211,Impact Player,30.0,52.0,47.0,56.7,7.0,42.0,1.83,0.18,15.9,3.365,13.58,46.66666666666666,62.333333333333336
