,CollegePlayerType,Plane,Connection,Rotation,BatSpeed,RotationalAcceleration,OnPlaneEfficiency,Power,TimeToContact,PeakHandSpeed,H1,HH,armVelo,exitVelo
0,Impact Player,57.0,47.0,62.0,61.2,12.0,70.0,2.33,0.17,18.9,3.2350000000000003,13.13,55.333333333333336,66.0
1,Impact Player,57.0,59.0,78.0,57.1,18.0,70.0,1.96,0.16,19.7,3.26,12.98,57.0,70.0
2,Role Player,59.0,65.0,38.0,59.2,4.1,72.0,1.99,0.18,16.4,3.115,12.56,59.333333333333336,65.0
3,Role Player,72.0,41.0,55.0,52.8,9.6,85.0,1.57,0.17,15.3,3.005,11.88,61.66666666666666,57.333333333333336
4,Impact Player,32.0,61.0,56.0,57.0,9.8,44.0,2.0,0.17,16.9,3.12,12.54,50.333333333333336,67.33333333333333
5,Impact Player,45.0,52.0,62.0,64.6,12.0,58.0,2.8,0.15,17.5,2.905,11.79,62.333333333333336,58.333333333333336
6,Role Player,52.86046511627907,52.895348837209305,55.02325581395349,57.60319767441862,9.968313953488371,66.09883720930233,1.9597965116279068,0.16930232558139532,17.55058139534884,2.835,11.42,64.33333333333333,48.66666666666666
7,Impact Player,52.0,51.0,57.0,59.1,10.4,65.0,2.12,0.16,16.6,3.015,11.72,56.333333333333336,55.0
8,Starter,40.0,47.0,45.0,53.9,6.1,52.0,1.5,0.19,14.1,3.45,12.48,57.66666666666666,54.0
9,Starter,46.0,48.0,76.0,56.1,17.7,59.0,1.96,0.16,19.0,3.175,12.72,52.0,67.33333333333333
10,Role Player,46.0,53.0,48.0,61.1,7.3,59.0,2.05,0.18,17.7,3.09,12.87,54.0,59.333333333333336
11,Role Player,37.0,46.0,61.0,59.8,11.7,49.0,2.27,0.16,17.4,3.055,13.2,57.333333333333336,65.0
12,Role Player,58.0,38.0,76.0,65.2,17.8,71.0,2.74,0.15,18.6,2.915,11.77,58.66666666666666,70.66666666666667
13,Role Player,52.0,49.0,78.0,58.4,21.2,64.0,2.24,0.15,20.1,2.96,11.76,65.66666666666667,60.0
14,Role Player,51.0,60.0,80.0,66.4,23.2,64.0,3.46,0.13,20.5,2.915,11.44,52.333333333333336,77.0
15,Starter,43.0,42.0,40.0,61.4,4.6,56.0,1.88,0.2,17.3,2.745,10.7,56.0,52.0
16,Starter,49.0,43.0,50.0,58.1,7.8,62.0,1.87,0.18,16.6,3.025,11.98,65.66666666666667,67.0
17,Starter,60.0,57.0,71.0,58.7,15.7,73.0,2.22,0.15,18.6,2.975,11.72,55.333333333333336,61.333333333333336
18,Role Player,59.0,49.0,50.0,52.8,8.1,72.0,1.31,0.18,16.1,2.975,11.895,60.66666666666666,60.333333333333336
19,Role Player,65.0,53.0,65.0,55.6,13.0,78.0,1.6,0.16,20.2,2.725,11.41,60.5,66.0
20,Starter,43.0,52.0,45.0,58.0,6.2,55.0,1.76,0.16,16.8,2.79,11.73,63.833333333333336,69.33333333333333
21,Role Player,52.0,61.0,43.0,43.4,5.5,65.0,0.87,0.19,14.0,2.5700000000000003,11.155,53.66666666666666,66.66666666666667
22,Role Player,39.0,51.0,52.0,53.6,8.7,52.0,1.36,0.18,17.6,3.04,12.18,61.2,59.66666666666666
23,Impact Player,56.0,43.0,60.0,50.2,11.4,70.0,1.42,0.15,17.3,2.72,11.625,58.833333333333336,73.0
24,Starter,40.0,57.0,52.0,55.5,8.6,53.0,1.42,0.19,17.8,3.265,12.79,61.16666666666666,66.33333333333333
25,Role Player,62.0,51.0,54.0,54.0,9.3,76.0,1.44,0.17,18.4,2.71,11.36,58.16666666666666,70.0
26,Role Player,64.0,61.0,80.0,53.7,19.7,77.0,1.58,0.16,19.4,2.8,11.415,60.333333333333336,69.0
27,Role Player,50.0,66.0,74.0,61.6,16.0,63.0,2.41,0.15,20.5,3.015,12.58,61.5,66.0
28,Starter,43.0,54.0,78.0,57.6,17.3,55.0,1.76,0.16,19.5,2.95,12.14,58.16666666666666,68.33333333333333
29,Starter,45.0,59.0,53.0,50.7,8.9,58.0,1.27,0.17,18.3,2.725,11.405,56.66666666666666,69.0
30,Starter,39.0,34.0,54.0,54.3,9.2,52.0,1.43,0.18,17.4,2.67,11.625,61.5,65.66666666666667
31,Starter,42.0,62.0,73.0,53.3,15.7,55.0,1.55,0.16,19.8,2.9,11.82,58.833333333333336,67.0
32,Impact Player,56.0,60.0,51.0,59.5,8.4,69.0,1.9,0.16,17.8,2.93,12.16,58.0,70.66666666666667
33,Starter,57.0,50.0,46.0,55.9,6.5,70.0,1.45,0.18,17.0,2.955,11.87,55.333333333333336,64.66666666666667
34,Impact Player,58.0,49.0,79.0,52.0,19.3,71.0,1.6,0.14,20.8,2.8,11.489999999999998,58.66666666666666,67.66666666666667
35,Role Player,59.0,65.0,66.0,50.6,13.2,72.0,1.26,0.17,17.7,3.01,12.08,55.333333333333336,62.333333333333336
36,Starter,65.0,70.0,53.0,57.3,9.0,78.0,2.1,0.16,16.6,3.2,13.25,60.0,62.333333333333336
37,Starter,73.0,71.0,62.0,59.8,13.2,87.0,2.42,0.15,18.4,3.05,12.3,55.25,66.33333333333333
38,Impact Player,41.0,48.0,49.0,60.7,9.0,57.0,2.16,0.17,18.2,3.1,12.4,55.5,65.0
39,Role Player,60.0,58.0,54.0,51.9,9.3,74.0,1.48,0.18,18.8,3.1500000000000004,12.95,57.0,49.333333333333336
40,Starter,35.0,53.0,48.0,56.0,7.3,47.0,1.71,0.19,16.4,3.4,13.9,55.75,60.333333333333336
41,Impact Player,58.0,64.0,48.0,54.9,8.6,72.0,1.83,0.17,16.3,2.95,12.25,57.5,59.333333333333336
42,Starter,35.0,44.0,40.0,60.1,4.6,47.0,1.91,0.19,17.1,3.25,13.15,61.5,64.0
43,Starter,55.0,54.0,51.0,43.8,8.1,68.0,0.98,0.19,15.1,2.9,12.05,56.0,52.66666666666666
44,Starter,76.0,54.0,50.0,54.8,8.1,90.0,1.74,0.17,16.9,3.1500000000000004,12.95,56.0,46.66666666666666
45,Role Player,64.0,61.0,54.0,56.9,10.6,79.0,2.08,0.16,16.4,3.1,12.55,50.0,61.0
46,Role Player,69.0,65.0,73.0,59.8,15.6,83.0,2.33,0.16,19.4,3.05,13.1,53.0,64.66666666666667
47,Role Player,39.0,40.0,42.0,50.5,5.1,51.0,1.34,0.2,16.3,2.85,11.75,52.25,49.333333333333336
