,CSE_PlayerID,CSE_EventID,Bucket,Date,CollegeDivision,CollegePlayerType,Obj_FootSpeed_H11,Obj_FootSpeed_H12,Obj_FootSpeed_HH1,Obj_FootSpeed_HH2,Obj_ArmVelo_Throw1,Obj_ArmVelo_Throw2,Obj_ArmVelo_Throw3,Obj_ArmVelo_Throw4,Obj_ArmVelo_Throw5,Obj_ArmVelo_Throw6,Obj_PopTime_Throw1,Obj_PopTime_Throw2,Obj_PopTime_Throw3,Obj_PopTime_Throw4,Obj_ExitVelo_Swing1,Obj_ExitVelo_Swing2,Obj_ExitVelo_Swing3,Plane,Connection,Rotation,BatSpeed,RotationalAcceleration,OnPlaneEfficiency,Power,TimeToContact,PeakHandSpeed,H1,HH,armVelo,exitVelo,notEmpty
153,3351,617,3,9/8/2021,Division 2,Starter,3.34,,13.39,,55,52,,,,,,,,,71,72,,50,37,48,64,8.6,65,2.44,0.17,19.7,3.34,13.39,53.5,71.5,4
155,3353,617,3,9/8/2021,Division 2,Starter,3.32,,12.55,,48,50,,,,,,,,,65,64,,40,57,40,61.6,5.8,56,2.11,0.18,18,3.32,12.55,49,64.5,4
161,3359,617,3,9/8/2021,Division 2,Starter,3.31,,12.28,,57,60,,,,,,,,,66,65,,44,44,54,58.3,10.6,59,2.03,0.16,18.9,3.31,12.28,58.5,65.5,4
162,3360,617,3,9/8/2021,Division 2,Starter,3.38,,12.85,,55,57,,,,,,,,,56,62,,65,62,55,57.8,10.7,79,2,0.17,17.5,3.38,12.85,56,59,4
164,3362,617,3,9/8/2021,Division 2,Role Player,3.25,,13.19,,58,61,,,,,,,,,67,65,,61,63,38,53.7,5.3,76,1.53,0.18,15.9,3.25,13.19,59.5,66,4
167,3365,617,3,9/8/2021,Division 2,Starter,3.11,,12.65,,51,53,,,,,,,,,80,79,,61,45,74,59.8,17.7,75,1.99,0.17,19.9,3.11,12.65,52,79.5,4
170,3368,617,3,9/8/2021,Division 2,Starter,3.3,,12.84,,55,50,,,,,,,,,70,64,,53,49,48,59.4,8.4,68,2.18,0.17,17,3.3,12.84,52.5,67,4
193,4806,780,3,10/15/2021,Division 2,Role Player,3.15,3.13,12.62,,55,57,56,,,,,,,,66,67,70,46,48,72,60.7,15.4,58,2.14,0.17,18.7,3.14,12.62,56,67.66666667,4
194,4807,780,3,10/15/2021,Division 2,Role Player,3.12,3.04,12.1,,54,55,52,,,,,,,,61,55,58,60,58,57,57.4,10.4,73,2.15,0.15,17.3,3.08,12.1,53.66666667,58,4
197,4810,780,3,10/15/2021,Division 2,Role Player,2.94,2.94,11.65,,63,58,64,,,,1.99,2.01,2.09,2.01,64,62,56,47,51,70,55.4,14.7,60,1.8,0.17,18,2.94,11.65,61.66666667,60.66666667,5
198,1334,780,3,10/15/2021,Division 2,Starter,3.09,3.11,12.61,,53,56,53,,,,,,,,64,72,60,57,51,62,54.5,12.1,70,1.65,0.18,19.2,3.1,12.61,54,65.33333333,4
199,1334,780,3,10/15/2021,Division 2,Starter,3.09,3.11,12.61,,53,56,53,,,,,,,,64,72,60,45,61,66,57.7,13.3,58,1.96,0.17,20.1,3.1,12.61,54,65.33333333,4
200,4812,780,3,10/15/2021,Division 2,Impact Player,3.21,3.09,12.4,,62,62,62,,,,,,,,58,59,58,58,53,70,59.1,14.5,71,2.35,0.15,17.7,3.15,12.4,62,58.33333333,4
201,4813,780,3,10/15/2021,Division 2,Starter,3.12,3.23,13.62,,62,62,61,,,,,,,,62,63,59,64,67,44,52.2,6.1,77,1.36,0.2,14,3.175,13.62,61.66666667,61.33333333,4
202,4814,780,3,10/15/2021,Division 2,Role Player,3.39,3.27,13.06,,57,55,59,,,,,,,,66,67,69,61,39,58,59.4,10.5,74,1.99,0.17,19.2,3.33,13.06,57,67.33333333,4
203,4815,780,3,10/15/2021,Division 2,Role Player,3.25,3.25,13.12,,55,54,58,,,,,,,,59,56,61,63,47,71,52,15,76,1.6,0.16,16.9,3.25,13.12,55.66666667,58.66666667,4
206,4818,780,3,10/15/2021,Division 2,Impact Player,3.07,3.12,12.25,,60,64,64,,,,1.78,1.78,1.84,1.75,64,60,69,52,59,55,62.1,9.7,65,2.32,0.17,16.8,3.095,12.25,62.66666667,64.33333333,5
207,4819,780,3,10/15/2021,Division 2,Impact Player,3.23,3.33,13.68,,62,59,59,,,,,,,,70,70,72,43,53,45,62.3,6.2,56,2.16,0.18,19.1,3.28,13.68,60,70.66666667,4
209,4821,780,3,10/15/2021,Division 2,Role Player,3.38,3.33,13.7,,55,58,57,,,,,,,,60,60,65,59,60,56,55.4,10,73,1.66,0.18,17.6,3.355,13.7,56.66666667,61.66666667,4
210,4822,780,3,10/15/2021,Division 2,Impact Player,2.9,2.92,11.79,,52,58,59,,,,,,,,58,60,67,57,42,69,58.6,14.4,70,2.14,0.16,18.4,2.91,11.79,56.33333333,61.66666667,4
211,4823,780,3,10/15/2021,Division 2,Starter,3.34,3.32,13.25,,59,59,59,,,,1.75,1.69,1.69,1.72,67,63,68,45,47,44,58.6,5.8,57,1.74,0.19,15.9,3.33,13.25,59,66,5
212,4824,780,3,10/15/2021,Division 2,Role Player,3.09,3.07,12.46,,52,53,54,,,,,,,,63,60,60,49,47,58,58.1,10.8,62,1.83,0.18,18.3,3.08,12.46,53,61,4
213,4825,780,3,10/15/2021,Division 2,Starter,3.06,3.16,12.49,,59,61,59,,,,1.91,1.99,1.94,1.87,71,64,63,61,53,55,54.9,9.8,74,1.49,0.17,17.8,3.11,12.49,59.66666667,66,5
214,4826,780,3,10/15/2021,Division 2,Impact Player,2.95,3.02,12.12,,58,61,59,,,,1.91,1.85,1.88,1.84,67,67,68,55,58,47,55.3,7,68,1.67,0.17,16.7,2.985,12.12,59.33333333,67.33333333,5
