,CSE_PlayerID,CSE_EventID,Bucket,Date,CollegeDivision,CollegePlayerType,Obj_FootSpeed_H11,Obj_FootSpeed_H12,Obj_FootSpeed_HH1,Obj_FootSpeed_HH2,Obj_ArmVelo_Throw1,Obj_ArmVelo_Throw2,Obj_ArmVelo_Throw3,Obj_ArmVelo_Throw4,Obj_ArmVelo_Throw5,Obj_ArmVelo_Throw6,Obj_PopTime_Throw1,Obj_PopTime_Throw2,Obj_PopTime_Throw3,Obj_PopTime_Throw4,Obj_ExitVelo_Swing1,Obj_ExitVelo_Swing2,Obj_ExitVelo_Swing3,Plane,Connection,Rotation,BatSpeed,RotationalAcceleration,OnPlaneEfficiency,Power,TimeToContact,PeakHandSpeed,H1,HH,armVelo,exitVelo,notEmpty
215,4827,780,3,10/15/2021,Division 2,Role Player,3.16,3.14,12.67,,57,58,60,,,,,,,,55,57,57,41,50,66,54.5,13.2,54,1.71,0.16,17.9,3.15,12.67,58.33333333,56.33333333,4
272,3428,783,3,9/15/2021,Division 3,Starter,3.27,3.33,13.14,,52,54,52,,,,,,,,56,59,59,74,48,44,49.9,6,88,1.29,0.19,13.7,3.3,13.14,52.66666667,58,4
273,3429,783,3,9/15/2021,Division 3,Starter,3.25,3.1,12.74,,53,52,53,,,,,,,,64,66,57,46,49,75,54.8,16.5,59,2.02,0.16,17.1,3.175,12.74,52.66666667,62.33333333,4
275,3431,783,3,9/15/2021,Division 3,Starter,2.95,2.9,11.76,,61,63,61,,,,,,,,65,64,69,50,51,63,58,12.4,63,2.2,0.16,18.9,2.925,11.76,61.66666667,66,4
276,3432,783,3,9/15/2021,Division 3,Starter,3.26,3.16,11.92,,60,61,64,,,,,,,,65,63,65,44,58,56,61,9.9,56,2.07,0.18,17.3,3.21,11.92,61.66666667,64.33333333,4
277,3433,783,3,9/15/2021,Division 3,Starter,3.47,3.35,14.08,,64,63,64,,,,1.78,1.84,1.77,,66,67,65,32,50,41,61,4.8,45,1.89,0.2,17.1,3.41,14.08,63.66666667,66,5
278,3434,783,3,9/15/2021,Division 3,Role Player,3.07,2.98,11.63,,58,59,58,,,,,,,,64,62,61,73,48,53,56.9,8.9,86,2.05,0.16,17.3,3.025,11.63,58.33333333,62.33333333,4
279,3435,783,3,9/15/2021,Division 3,Role Player,3.66,3.58,15.07,,50,53,55,,,,,,,,61,59,60,32,56,50,53.3,7.8,44,1.61,0.19,15.1,3.62,15.07,52.66666667,60,4
280,3436,783,3,9/15/2021,Division 3,Starter,3.14,3.07,12.47,,55,54,57,,,,,,,,58,65,59,47,60,46,59,6.4,60,1.98,0.17,17.7,3.105,12.47,55.33333333,60.66666667,4
281,3437,783,3,9/15/2021,Division 3,Role Player,3.36,3.28,13.75,,56,54,55,,,,,,,,62,67,67,54,39,63,60.9,12.3,67,2.51,0.16,22.5,3.32,13.75,55,65.33333333,4
284,3440,783,3,9/15/2021,Division 3,Impact Player,3.43,3.31,13.92,,70,70,71,,,,,,,,74,66,66,50,53,47,67.3,7,63,2.75,0.18,17.2,3.37,13.92,70.33333333,68.66666667,4
285,3441,783,3,9/15/2021,Division 3,Impact Player,3.14,3.13,12.46,,57,58,59,,,,,,,,69,67,66,47,64,65,60.5,13.1,59,2.2,0.17,16,3.135,12.46,58,67.33333333,4
287,3443,783,3,9/15/2021,Division 3,Role Player,2.94,2.91,11.79,,52,51,54,,,,,,,,50,59,60,69,59,56,52,9.8,82,1.5,0.18,15.3,2.925,11.79,52.33333333,56.33333333,4
289,3445,783,3,9/15/2021,Division 3,Role Player,3.32,3.38,13.75,,53,57,57,,,,2.02,2.07,2.02,,61,58,63,49,55,79,57,19.8,62,2.12,0.15,20,3.35,13.75,55.66666667,60.66666667,5
291,3447,783,3,9/15/2021,Division 3,Role Player,3.24,3.22,12.96,,55,56,57,,,,,,,,53,52,53,47,68,64,56.7,12.6,60,1.79,0.18,16.5,3.23,12.96,56,52.66666667,4
292,3448,783,3,9/15/2021,Division 3,Role Player,3.31,3.27,13.42,,56,57,58,,,,,,,,57,62,61,67,70,44,50.1,6,80,1.27,0.19,18.1,3.29,13.42,57,60,4
293,3449,783,3,9/15/2021,Division 3,Role Player,3.13,3.09,12.36,,49,52,53,,,,,,,,48,59,56,40,56,60,55,11.1,53,1.75,0.18,18.8,3.11,12.36,51.33333333,54.33333333,4
294,3450,783,3,9/15/2021,Division 3,Role Player,3.17,3.1,12.57,,60,61,62,,,,,,,,68,68,67,63,45,78,63,18.2,76,2.71,0.14,19.3,3.135,12.57,61,67.66666667,4
297,4425,783,3,9/15/2021,Division 3,Role Player,2.93,2.84,11.12,,52,53,54,,,,,,,,55,60,65,67,65,48,57.9,7.3,81,1.95,0.17,19.6,2.885,11.12,53,60,4
298,4426,783,3,9/15/2021,Division 3,Role Player,3.15,3.12,12.25,,57,59,62,,,,,,,,64,72,74,51,53,71,59.2,15.3,64,2.37,0.15,18.6,3.135,12.25,59.33333333,70,4
322,3735,787,3,9/18/2021,NAIA,Role Player,3.78,3.88,13.77,13.98,51,53,48,51,53,48,1.9,1.85,1.87,1.85,68,66,65,57,59,50,56.5,9.1,72,1.76,0.18,17.1,3.83,13.875,50.66666667,66.33333333,5
324,3737,787,3,9/18/2021,NAIA,Role Player,3.27,3.23,12.21,12.21,40,40,39,36,40,38,,,,,63,62,57,43,69,59,52,12.2,58,1.69,0.16,20.9,3.25,12.21,38.83333333,60.66666667,4
326,3739,787,3,9/18/2021,NAIA,Starter,3.23,3.21,12.75,12.61,58,56,53,57,55,58,,,,,70,72,69,40,58,41,62.4,6.1,56,2.25,0.17,17.8,3.22,12.68,56.16666667,70.33333333,4
328,3741,787,3,9/18/2021,NAIA,Impact Player,3.22,3.3,12.66,12.62,53,42,50,52,49,50,1.84,1.75,1.91,1.81,68,68,68,52,57,50,58,9.2,66,1.9,0.18,18.2,3.26,12.64,49.33333333,68,5
330,3743,787,3,9/18/2021,NAIA,Role Player,3.67,3.6,14.1,13.94,51,41,46,43,48,50,2.22,2.22,2.15,2.18,72,64,74,53,48,45,59.6,7.3,68,2.1,0.17,18.7,3.635,14.02,46.5,70,5
332,3745,787,3,9/18/2021,NAIA,Starter,3.47,3.49,13.77,13.21,47,50,51,49,48,51,,,,,65,67,72,68,74,70,52,16,82,1.79,0.15,18.6,3.48,13.49,49.33333333,68,4
333,3746,787,3,9/18/2021,NAIA,Impact Player,3.49,3.34,13.07,12.9,55,53,55,55,54,55,,,,,68,68,68,54,61,57,57.9,11.5,69,2,0.17,16.3,3.415,12.985,54.5,68,4
334,3747,787,3,9/18/2021,NAIA,Role Player,3.46,3.37,13.07,12.9,52,50,52,43,48,52,,,,,31,54,45,79,44,59,49.5,12.2,94,1.4,0.17,16.2,3.415,12.985,49.5,43.33333333,4
335,3748,787,3,9/18/2021,NAIA,Starter,3.21,3.2,12.13,12.08,57,56,58,57,57,58,,,,,64,58,65,27,39,40,56.4,5.9,42,1.85,0.17,16.7,3.205,12.105,57.16666667,62.33333333,4
336,3749,787,3,9/18/2021,NAIA,Role Player,3.17,3.41,12.71,12.63,51,58,59,57,58,57,,,,,75,76,62,62,63,75,58,18.9,77,2.15,0.15,20.9,3.29,12.67,56.66666667,71,4
338,3751,787,3,9/18/2021,NAIA,Impact Player,3.33,3.41,12.8,12.83,58,59,59,61,60,59,,,,,62,62,68,47,51,55,58.4,9.6,61,2.07,0.17,16.3,3.37,12.815,59.33333333,64,4
339,3752,787,3,9/18/2021,NAIA,Impact Player,3.3,2.97,12.38,12.24,53,53,53,57,56,53,,,,,70,68,71,50,48,46,58.6,7.8,65,1.92,0.18,16.6,3.135,12.31,54.16666667,69.66666667,4
341,3754,787,3,9/18/2021,NAIA,Impact Player,3.53,3.51,13.16,13.22,59,57,55,57,57,56,,,,,58,66,64,32,61,62,55.1,13.4,47,1.88,0.17,19.5,3.52,13.19,56.83333333,62.66666667,4
342,3755,787,3,9/18/2021,NAIA,Impact Player,3.66,3.61,13.47,12.92,44,48,46,50,48,45,,,,,78,75,69,44,57,57,58.6,10.4,56,2.07,0.16,17.4,3.635,13.195,46.83333333,74,4
343,3756,787,3,9/18/2021,NAIA,Starter,3.44,3.45,13.31,13.18,40,42,43,47,46,44,,,,,67,71,71,,,,,,,,,,3.445,13.245,43.66666667,69.66666667,4
346,3759,787,3,9/18/2021,NAIA,Impact Player,3.79,3.61,13.79,14.03,49,55,53,58,56,52,1.87,1.78,1.84,1.81,69,69,70,59,56,55,56.4,9.7,72,2.05,0.17,16.4,3.7,13.91,53.83333333,69.33333333,5
347,3760,787,3,9/18/2021,NAIA,Impact Player,3.31,3.29,11.71,11.78,46,46,53,51,50,47,,,,,69,70,71,23,39,42,57,6.4,39,1.73,0.18,17.5,3.3,11.745,48.83333333,70,4
349,3171,788,3,9/2/2021,Division 2,Role Player,3.35,,12.92,,51,52,,,,,,,,,61,62,,42,51,52,54.9,8.6,55,1.65,0.18,19,3.35,12.92,51.5,61.5,4
350,3172,788,3,9/2/2021,Division 2,Role Player,3.57,,14.57,,59,55,,,,,,,,,68,72,,64,50,39,55.9,4.2,77,1.69,0.18,16.9,3.57,14.57,57,70,4
353,3175,788,3,9/2/2021,Division 2,Role Player,3.9,,14.86,,46,48,,,,,,,,,63,64,,38,56,66,58.8,13.4,50,1.96,0.17,18.6,3.9,14.86,47,63.5,4
354,3176,788,3,9/2/2021,Division 2,Role Player,3.8,,15.01,,51,48,,,,,,,,,62,67,,43,55,64,54.2,12.7,56,1.7,0.16,16.7,3.8,15.01,49.5,64.5,4
357,3179,788,3,9/2/2021,Division 2,Role Player,3.12,,12.21,,60,64,,,,,,,,,63,64,,62,45,48,58.1,7.3,75,1.71,0.19,16.4,3.12,12.21,62,63.5,4
359,1305,788,3,9/2/2021,Division 2,Role Player,3.21,,12.47,,50,53,,,,,,,,,64,66,,48,58,71,56.2,15.1,61,1.89,0.16,22.1,3.21,12.47,51.5,65,4
360,1305,788,3,9/2/2021,Division 2,Role Player,3.21,,12.47,,50,53,,,,,,,,,64,66,,52,67,60,61.4,11.3,65,2.39,0.15,20.9,3.21,12.47,51.5,65,4
365,3186,788,3,9/2/2021,Division 2,Role Player,3.47,,13.45,,44,48,,,,,,,,,59,61,,67,57,42,52.3,5.1,81,1.51,0.19,16.9,3.47,13.45,46,60,4
366,3187,788,3,9/2/2021,Division 2,Role Player,3.03,,11.83,,51,55,,,,,,,,,62,56,,70,49,78,55.9,18.2,84,2.1,0.15,18.4,3.03,11.83,53,59,4
369,3190,788,3,9/2/2021,Division 2,Role Player,3.6,,14.3,,49,52,,,,,,,,,50,52,,60,59,44,44.6,6.1,73,1.02,0.19,15.3,3.6,14.3,50.5,51,4
371,3192,788,3,9/2/2021,Division 2,Role Player,3.34,,12.8,,61,58,,,,,,,,,65,67,,48,60,62,58.4,11.8,60,2.15,0.16,17.6,3.34,12.8,59.5,66,4
372,3193,788,3,9/2/2021,Division 2,Role Player,3.35,,13.1,,54,53,,,,,,,,,67,69,,59,63,74,59.6,15.8,72,2.11,0.17,17.4,3.35,13.1,53.5,68,4
373,3194,788,3,9/2/2021,Division 2,Role Player,3.31,,12.87,,50,50,,,,,,,,,69,71,,62,63,59,59.9,11.1,75,2.18,0.16,19,3.31,12.87,50,70,4
374,3195,788,3,9/2/2021,Division 2,Role Player,3.71,,13.36,,54,46,,,,,1.87,1.78,,,66,68,,43,62,69,63.8,14.3,56,2.47,0.16,19.9,3.71,13.36,50,67,5
376,3197,788,3,9/2/2021,Division 2,Role Player,3.38,,13.47,,59,57,,,,,,,,,62,63,,38,58,47,55.5,7,50,1.8,0.17,17,3.38,13.47,58,62.5,4
378,3199,788,3,9/2/2021,Division 2,Role Player,3.29,,12.26,,50,52,,,,,,,,,50,59,,62,40,50,48.7,7.9,76,1.25,0.18,16.7,3.29,12.26,51,54.5,4
380,3201,788,3,9/2/2021,Division 2,Role Player,3.29,,12.74,,56,59,,,,,,,,,66,68,,35,40,46,65.5,6.5,47,2.58,0.17,18.7,3.29,12.74,57.5,67,4
381,3202,788,3,9/2/2021,Division 2,Role Player,3.12,,12.21,,58,53,,,,,,,,,57,54,,52,51,60,55.7,11.4,64,1.95,0.16,19,3.12,12.21,55.5,55.5,4
382,3203,788,3,9/2/2021,Division 2,Role Player,3.43,,13.69,,49,51,,,,,,,,,62,63,,35,52,50,55.7,7.8,47,1.59,0.19,15.7,3.43,13.69,50,62.5,4
387,3208,788,3,9/2/2021,Division 2,Role Player,3,,11.69,,54,54,,,,,,,,,63,66,,51,53,43,56.9,5.7,64,1.68,0.19,15.4,3,11.69,54,64.5,4
388,3209,788,3,9/2/2021,Division 2,Role Player,3.28,,12.72,,52,52,,,,,,,,,71,74,,52,63,80,65.8,22.4,65,2.97,0.14,21.6,3.28,12.72,52,72.5,4
390,3211,788,3,9/2/2021,Division 2,Role Player,3.17,,12.62,,53,54,,,,,,,,,58,59,,35,53,42,46.8,5.4,47,1.21,0.18,15.1,3.17,12.62,53.5,58.5,4
411,3234,790,3,9/7/2021,Division 2,Role Player,3.3,3.22,13.5,,51,52,54,52,54,51,,,,,60,66,68,,,,,,,,,,3.26,13.5,52.33333333,64.66666667,4
412,3235,790,3,9/7/2021,Division 2,Starter,3.04,3.06,12.29,,52,55,53,54,50,51,,,,,59,67,65,,,,,,,,,,3.05,12.29,52.5,63.66666667,4
413,3236,790,3,9/7/2021,Division 2,Role Player,3.14,3.11,11.78,,54,54,57,58,58,57,,,,,68,64,63,47,54,79,52.5,20,60,1.74,0.15,18.2,3.125,11.78,56.33333333,65,4
414,3237,790,3,9/7/2021,Division 2,Starter,3.15,3.15,12.54,,56,60,63,70,58,62,1.81,1.85,1.81,1.82,68,67,65,45,55,71,55.3,15.3,57,1.85,0.16,17.8,3.15,12.54,61.5,66.66666667,5
415,3238,790,3,9/7/2021,Division 2,Role Player,3.14,3.11,12.59,,55,55,55,58,58,55,,,,,63,63,62,62,44,45,51.2,6.4,75,1.42,0.18,16.8,3.125,12.59,56,62.66666667,4
416,3239,790,3,9/7/2021,Division 2,Starter,3.16,3.13,12.93,,53,53,55,55,53,55,,,,,69,68,65,30,63,45,63.7,6.2,42,2.2,0.18,18.4,3.145,12.93,54,67.33333333,4
417,3240,790,3,9/7/2021,Division 2,Role Player,3.16,3.15,12.98,,52,52,51,53,53,51,,,,,65,61,64,59,42,47,57.5,7.1,72,2.07,0.16,18.5,3.155,12.98,52,63.33333333,4
419,3242,790,3,9/7/2021,Division 2,Starter,3.03,2.98,12,,59,58,58,59,58,59,,,,,62,58,56,,,,,,,,,,3.005,12,58.5,58.66666667,4
420,3243,790,3,9/7/2021,Division 2,Impact Player,3.17,3.14,12.58,,56,57,59,58,59,56,,,,,67,69,68,60,64,48,59,7.4,73,1.96,0.17,18.7,3.155,12.58,57.5,68,4
421,3244,790,3,9/7/2021,Division 2,Role Player,3.04,2.97,12.44,,54,53,55,53,54,52,,,,,58,56,54,54,56,43,50.9,5.7,67,1.4,0.18,15.9,3.005,12.44,53.5,56,4
422,3245,790,3,9/7/2021,Division 2,Starter,3.13,3.06,12.62,,53,54,56,56,54,53,,,,,66,63,66,38,64,53,62.2,8.9,51,2.41,0.16,19.7,3.095,12.62,54.33333333,65,4
423,3246,790,3,9/7/2021,Division 2,Role Player,3.3,3.38,13.45,,48,49,48,50,50,49,,,,,65,64,63,,,,,,,,,,3.34,13.45,49,64,4
424,3247,790,3,9/7/2021,Division 2,Role Player,3.29,3.39,13.39,,46,46,49,47,46,46,,,,,58,57,58,42,39,45,56.2,6.3,55,1.7,0.18,19.1,3.34,13.39,46.66666667,57.66666667,4
425,3248,790,3,9/7/2021,Division 2,Role Player,3.12,3.16,12.82,,54,55,57,54,57,55,1.91,2.03,1.9,2.03,60,59,56,,,,,,,,,,3.14,12.82,55.33333333,58.33333333,5
426,3249,790,3,9/7/2021,Division 2,Impact Player,3,2.99,11.64,,69,68,66,70,67,69,1.75,1.56,1.66,1.58,68,66,58,28,54,42,64.1,5.2,40,2.24,0.18,16.7,2.995,11.64,68.16666667,64,5
428,3251,790,3,9/7/2021,Division 2,Role Player,3,2.99,12.07,,58,57,57,58,58,57,1.81,1.82,1.81,1.83,66,65,65,,,,,,,,,,2.995,12.07,57.5,65.33333333,5
429,3252,790,3,9/7/2021,Division 2,Impact Player,3,2.98,11.66,,50,51,53,53,52,53,,,,,69,69,68,43,58,68,55,13.9,55,1.72,0.17,19.5,2.99,11.66,52,68.66666667,4
430,3253,790,3,9/7/2021,Division 2,Impact Player,3.08,3.1,12.02,,58,54,57,62,57,58,,,,,68,67,67,48,68,60,61,11.4,61,2.25,0.16,19.5,3.09,12.02,57.66666667,67.33333333,4
574,5139,800,3,10/25/2021,Division 2,Role Player,3.26,,12.41,,51,48,50,,,,,,,,55,56,50,50,55,47,54.6,7,63,1.69,0.17,18,3.26,12.41,49.66666667,53.66666667,4
575,5140,800,3,10/25/2021,Division 2,Starter,3.03,3.07,12.96,,56,58,56,,,,,,,,58,58,65,59,55,62,56,12,72,1.79,0.17,18.3,3.05,12.96,56.66666667,60.33333333,4
577,5142,800,3,10/25/2021,Division 2,Role Player,3.09,3.01,12.85,,59,57,57,,,,2.01,1.96,1.93,1.77,58,58,59,56,70,47,50.8,7,69,1.45,0.17,16.8,3.05,12.85,57.66666667,58.33333333,5
578,5143,800,3,10/25/2021,Division 2,Role Player,3.21,3.12,12.93,,54,52,49,,,,,,,,59,48,61,47,61,43,53.2,5.6,59,1.45,0.19,17.5,3.165,12.93,51.66666667,56,4
579,5144,800,3,10/25/2021,Division 2,Role Player,2.98,2.91,13.12,,55,58,58,,,,,,,,68,67,66,47,36,71,59.4,14.9,60,2.01,0.17,22.3,2.945,13.12,57,67,4
580,5145,800,3,10/25/2021,Division 2,Starter,3.03,,11.86,,58,57,58,,,,,,,,54,63,57,51,64,50,57.2,7.8,64,1.88,0.17,18.4,3.03,11.86,57.66666667,58,4
581,5146,800,3,10/25/2021,Division 2,Role Player,3.48,,13.23,,47,51,51,,,,,,,,54,53,41,53,50,64,54.6,12.6,66,1.74,0.17,18.6,3.48,13.23,49.66666667,49.33333333,4
582,5147,800,3,10/25/2021,Division 2,Starter,3.08,3.16,12.67,,56,55,54,,,,,,,,60,59,61,69,53,67,53.7,13.5,83,1.66,0.17,18,3.12,12.67,55,60,4
584,5149,800,3,10/25/2021,Division 2,Starter,3.21,3.36,13.54,,54,56,60,,,,2.01,1.81,1.86,1.99,64,62,63,62,56,69,53.7,14.3,75,1.63,0.17,18.5,3.285,13.54,56.66666667,63,5
585,5150,800,3,10/25/2021,Division 2,Role Player,3.46,,13.1,,49,50,49,,,,,,,,60,60,64,62,52,63,53.7,12.2,75,1.74,0.16,20.1,3.46,13.1,49.33333333,61.33333333,4
586,5151,800,3,10/25/2021,Division 2,Impact Player,3.16,3.14,12.35,,62,63,62,,,,1.95,1.86,1.89,1.91,65,66,73,67,48,70,59.5,14.8,80,2.36,0.15,19.2,3.15,12.35,62.33333333,68,5
588,5153,800,3,10/25/2021,Division 2,Role Player,3.48,3.46,14.17,,48,47,48,,,,,,,,52,58,60,56,61,66,55.4,13.7,69,1.9,0.16,18.6,3.47,14.17,47.66666667,56.66666667,4
589,5154,800,3,10/25/2021,Division 2,Impact Player,2.92,2.87,12.38,,56,58,58,,,,2.03,2.01,1.87,1.93,62,66,68,52,46,77,60.1,18,65,2.41,0.15,18.4,2.895,12.38,57.33333333,65.33333333,5
590,12535,800,3,10/25/2021,Division 2,Role Player,3.09,3.14,13.11,,44,46,44,,,,,,,,67,59,64,,,,,,,,,,3.115,13.11,44.66666667,63.33333333,4
591,5156,800,3,10/25/2021,Division 2,Starter,3.23,3.19,12.22,,51,52,52,,,,,,,,63,64,63,48,50,58,54.5,10.5,61,1.77,0.16,16.6,3.21,12.22,51.66666667,63.33333333,4
592,5157,800,3,10/25/2021,Division 2,Starter,2.93,2.99,12.34,,54,60,57,,,,,,,,50,48,56,60,50,44,46.1,5.8,73,1.12,0.19,15.3,2.96,12.34,57,51.33333333,4
593,5158,800,3,10/25/2021,Division 2,Role Player,3.8,3.65,15.1,,46,49,47,,,,,,,,60,64,65,56,50,64,57.7,12.8,69,1.97,0.17,20.1,3.725,15.1,47.33333333,63,4
594,5159,800,3,10/25/2021,Division 2,Starter,3.27,3.25,12.92,,52,53,56,,,,,,,,66,60,65,47,54,65,55.4,12.9,60,1.75,0.17,16.9,3.26,12.92,53.66666667,63.66666667,4
595,5160,800,3,10/25/2021,Division 2,Starter,3.25,3.27,13.14,,57,57,56,,,,,,,,62,58,61,73,51,71,52.5,15,87,1.69,0.16,18.8,3.26,13.14,56.66666667,60.33333333,4
621,3451,802,3,9/10/2021,Division 2,Role Player,3.32,,13.02,,59,58,,,,,,,,,53,53,,39,46,79,51.1,20.6,52,1.5,0.17,18.1,3.32,13.02,58.5,53,4
622,3452,802,3,9/10/2021,Division 2,Starter,3.4,,13.1,,56,55,,,,,,,,,66,65,,51,56,51,61.5,8.2,63,2.32,0.17,19.6,3.4,13.1,55.5,65.5,4
624,3454,802,3,9/10/2021,Division 2,Role Player,3.27,,13.1,,55,,,,,,,,,,65,65,,44,70,58,60.3,10.5,57,2.15,0.17,21.5,3.27,13.1,55,65,4
625,3455,802,3,9/10/2021,Division 2,Role Player,3.24,,12.8,,55,58,,,,,,,,,66,67,,23,46,47,61.9,8.3,38,2.15,0.18,21.1,3.24,12.8,56.5,66.5,4
627,3457,802,3,9/10/2021,Division 2,Starter,3.56,,12.7,,50,56,,,,,,,,,58,60,,50,53,51,57.9,8.1,63,1.89,0.17,17.2,3.56,12.7,53,59,4
629,3459,802,3,9/10/2021,Division 2,Role Player,3.44,,12.34,,61,59,,,,,1.83,1.89,,,64,65,,32,57,62,59.4,11.8,44,2.33,0.15,19.4,3.44,12.34,60,64.5,5
631,3461,802,3,9/10/2021,Division 2,Role Player,3.04,,11.4,,64,61,,,,,,,,,58,59,,43,44,72,58.4,15.9,56,2.13,0.16,21.1,3.04,11.4,62.5,58.5,4
