,CSE_PlayerID,CSE_EventID,Bucket,Date,CollegeDivision,CollegePlayerType,Obj_FootSpeed_H11,Obj_FootSpeed_H12,Obj_FootSpeed_HH1,Obj_FootSpeed_HH2,Obj_ArmVelo_Throw1,Obj_ArmVelo_Throw2,Obj_ArmVelo_Throw3,Obj_ArmVelo_Throw4,Obj_ArmVelo_Throw5,Obj_ArmVelo_Throw6,Obj_PopTime_Throw1,Obj_PopTime_Throw2,Obj_PopTime_Throw3,Obj_PopTime_Throw4,Obj_ExitVelo_Swing1,Obj_ExitVelo_Swing2,Obj_ExitVelo_Swing3,Plane,Connection,Rotation,BatSpeed,RotationalAcceleration,OnPlaneEfficiency,Power,TimeToContact,PeakHandSpeed,H1,HH,armVelo,exitVelo,notEmpty
303,4291,786,1,10/1/2021,DIvision 1 Mid-Major,Starter,3.14,3.07,11.9,11.77,56,53,60,57,58,56,,,,,58,60,62,46,51,48,55.9,7.2,58,1.7,0.18,15.5,3.105,11.835,56.66666667,60,4
304,4292,786,1,10/1/2021,DIvision 1 Mid-Major,Starter,3.26,3.22,12.09,12.05,55,53,50,51,52,54,,,,,63,81,73,47,49,61,65.5,11.7,60,2.64,0.16,20.3,3.24,12.07,52.5,72.33333333,4
306,4294,786,1,10/1/2021,DIvision 1 Mid-Major,Starter,3.08,3.02,11.2,11.29,51,48,52,54,52,53,,,,,69,61,63,40,48,58,61.1,10.8,52,2.41,0.16,16.3,3.05,11.245,51.66666667,64.33333333,4
307,4295,786,1,10/1/2021,DIvision 1 Mid-Major,Starter,3.15,3.11,11.18,11.19,51,52,46,48,50,49,,,,,78,78,78,27,47,45,66.9,7.7,44,2.73,0.17,20.8,3.13,11.185,49.33333333,78,4
309,4297,786,1,10/1/2021,DIvision 1 Mid-Major,Role Player,3.25,3.75,11.96,11.9,51,50,53,49,52,51,,,,,59,59,74,48,46,55,62.1,9.4,61,2.34,0.18,17.1,3.5,11.93,51,64,4
310,4298,786,1,10/1/2021,DIvision 1 Mid-Major,Role Player,3.06,3.19,11.09,10.9,50,48,51,50,51,49,,,,,68,66,72,66,54,36,63.9,3.4,80,2.1,0.2,17.2,3.125,10.995,49.83333333,68.66666667,4
311,4299,786,1,10/1/2021,DIvision 1 Mid-Major,Role Player,3.35,3.13,12,12.1,53,37,50,63,52,58,,,,,74,68,76,77,43,80,57.9,21.2,91,2.32,0.15,18,3.24,12.05,52.16666667,72.66666667,4
312,4300,786,1,10/1/2021,DIvision 1 Mid-Major,Role Player,3.58,3.39,12.7,12.82,48,46,47,45,47,46,,,,,63,62,62,59,59,40,56.4,5.7,74,1.79,0.18,18.1,3.485,12.76,46.5,62.33333333,4
313,4301,786,1,10/1/2021,DIvision 1 Mid-Major,Starter,3.24,3.16,12.68,12.54,47,48,46,47,47,48,,,,,65,65,73,40,52,45,63.8,6.2,52,2.46,0.18,18.3,3.2,12.61,47.16666667,67.66666667,4
315,4303,786,1,10/1/2021,DIvision 1 Mid-Major,Starter,3.65,3.68,14,13.74,55,48,52,51,50,54,1.72,1.68,1.72,1.7,69,67,70,66,62,54,62.2,9.3,80,2.41,0.17,18.8,3.665,13.87,51.66666667,68.66666667,5
