,CSE_PlayerID,CSE_EventID,Bucket,Date,CollegeDivision,CollegePlayerType,Obj_FootSpeed_H11,Obj_FootSpeed_H12,Obj_FootSpeed_HH1,Obj_FootSpeed_HH2,Obj_ArmVelo_Throw1,Obj_ArmVelo_Throw2,Obj_ArmVelo_Throw3,Obj_ArmVelo_Throw4,Obj_ArmVelo_Throw5,Obj_ArmVelo_Throw6,Obj_PopTime_Throw1,Obj_PopTime_Throw2,Obj_PopTime_Throw3,Obj_PopTime_Throw4,Obj_ExitVelo_Swing1,Obj_ExitVelo_Swing2,Obj_ExitVelo_Swing3,Plane,Connection,Rotation,BatSpeed,RotationalAcceleration,OnPlaneEfficiency,Power,TimeToContact,PeakHandSpeed,H1,HH,armVelo,exitVelo,notEmpty
448,3633,791,4,9/15/2021,Division 3,Starter,3.25,,11.58,,60,63,62,61,60,61,,,,,62,58,67,56,62,64,55,13.7,71,1.84,0.16,20.7,3.25,11.58,61.16666667,62.33333333,4
449,3634,791,4,9/15/2021,Division 3,Starter,3.12,,11.13,,52,53,53,52,54,53,,,,,57,62,67,67,45,79,51.8,20.3,81,1.93,0.14,18.4,3.12,11.13,52.83333333,62,4
450,3635,791,4,9/15/2021,Division 3,Role Player,3.45,,12.65,,56,48,51,54,56,55,,,,,55,56,58,59,62,55,50.9,10.9,74,1.53,0.17,17.9,3.45,12.65,53.33333333,56.33333333,4
451,3636,791,4,9/15/2021,Division 3,Starter,3.34,,12.34,,62,58,60,57,58,60,1.85,2.04,2.03,1.96,69,67,69,50,61,57,58.6,11.5,65,1.95,0.17,18.7,3.34,12.34,59.16666667,68.33333333,5
452,3637,791,4,9/15/2021,Division 3,Role Player,3.34,,11.03,,49,51,54,56,50,53,,,,,62,56,61,61,52,56,54.3,11.4,75,1.73,0.17,17.9,3.34,11.03,52.16666667,59.66666667,4
453,4660,792,4,10/12/2021,NAIA,Role Player,2.88,,11.7,,54,54,60,60,55,54,,,,,51,57,55,65,62,50,57.4,7.9,78,1.87,0.17,19.6,2.88,11.7,56.16666667,54.33333333,4
454,4661,792,4,10/12/2021,NAIA,Role Player,3.2,,13.63,,55,57,58,57,55,58,2.69,2.25,2.44,2.25,64,59,59,47,56,47,52.9,6.8,60,1.62,0.17,15.2,3.2,13.63,56.66666667,60.66666667,5
455,4662,792,4,10/12/2021,NAIA,Starter,3.16,,12.71,,59,60,62,59,60,62,2.28,1.9,1.9,2.1,52,54,55,49,48,55,57.2,9.4,62,1.95,0.16,18.5,3.16,12.71,60.33333333,53.66666667,5
456,4663,792,4,10/12/2021,NAIA,Impact Player,3.28,,12.43,,57,57,60,57,60,60,,,,,71,71,69,56,44,46,57.9,6.8,69,1.81,0.18,16.8,3.28,12.43,58.5,70.33333333,4
457,4664,792,4,10/12/2021,NAIA,Role Player,3.34,,13.44,,57,55,54,54,55,57,,,,,52,53,60,38,38,51,52.1,8.1,51,1.39,0.18,17.6,3.34,13.44,55.33333333,55,4
458,4665,792,4,10/12/2021,NAIA,Starter,2.88,,12.12,,53,55,59,55,59,53,,,,,49,53,54,,,,,,,,,,2.88,12.12,55.66666667,52,4
459,4666,792,4,10/12/2021,NAIA,Starter,3.07,,12.5,,61,62,61,62,62,61,,,,,57,63,62,61,47,60,53.5,11.4,74,1.78,0.16,15.4,3.07,12.5,61.5,60.66666667,4
460,4667,792,4,10/12/2021,NAIA,Impact Player,3.15,,12.47,,65,66,66,65,66,65,,,,,67,67,67,56,71,45,61.1,6.1,69,2.11,0.17,18,3.15,12.47,65.5,67,4
461,4668,792,4,10/12/2021,NAIA,Impact Player,3.34,,13.58,,64,65,67,65,64,67,,,,,59,58,65,44,47,42,62.4,5.2,57,1.96,0.19,18.1,3.34,13.58,65.33333333,60.66666667,4
462,4669,792,4,10/12/2021,NAIA,Starter,3.07,,12.63,,58,59,58,58,59,59,,,,,60,47,61,64,51,49,54.2,7.5,78,1.57,0.18,18.5,3.07,12.63,58.5,56,4
464,4671,792,4,10/12/2021,NAIA,Starter,2.99,,12.06,,50,53,53,50,53,53,,,,,51,53,60,78,29,51,58.1,8.1,92,1.9,0.17,18,2.99,12.06,52,54.66666667,4
466,4673,792,4,10/12/2021,NAIA,Impact Player,2.99,,12.21,,59,60,61,59,60,61,,,,,56,56,67,39,56,41,55.1,5.1,51,1.72,0.17,17.5,2.99,12.21,60,59.66666667,4
467,4674,792,4,10/12/2021,NAIA,Starter,3.03,,12.16,,61,60,61,60,61,60,,,,,60,57,57,51,50,41,54.7,4.9,64,1.53,0.19,16.1,3.03,12.16,60.5,58,4
468,4675,792,4,10/12/2021,NAIA,Impact Player,3.22,,13.35,,60,62,61,61,62,60,2.22,2.12,2.12,2.23,55,60,63,34,45,57,57.5,10.3,47,1.88,0.17,19.9,3.22,13.35,61,59.33333333,5
469,4676,792,4,10/12/2021,NAIA,Starter,2.64,,11.63,,57,59,60,59,57,60,,,,,60,61,60,,,,,,,,,,2.64,11.63,58.66666667,60.33333333,4
470,4677,792,4,10/12/2021,NAIA,Impact Player,3.24,,13.43,,50,51,52,51,52,50,,,,,53,62,59,51,44,61,58,11.7,64,2.08,0.16,16.7,3.24,13.43,51,58,4
494,3575,795,4,9/14/2021,JUCO 3,Impact Player,3.36,3.39,13.65,13.99,56,57,56,,,,,,,,57,74,73,43,62,36,60.8,4.5,58,1.98,0.18,19.3,3.375,13.82,56.33333333,68,4
495,3576,795,4,9/14/2021,JUCO 3,Role Player,3.07,3.03,12.49,13.03,46,45,46,,,,2.47,2.47,2.28,2.35,57,64,50,46,43,69,50.4,15.6,61,1.65,0.15,21,3.05,12.76,45.66666667,57,5
496,3577,795,4,9/14/2021,JUCO 3,Impact Player,3.11,3.12,13.13,13.4,52,54,55,,,,,,,,78,72,81,56,63,70,66.3,15.8,71,2.95,0.15,20.6,3.115,13.265,53.66666667,77,4
497,3578,795,4,9/14/2021,JUCO 3,Role Player,3.42,3.46,13.68,13.98,41,41,41,,,,2.5,2.47,2.44,2.31,53,50,55,32,56,38,51.8,5.2,48,1.27,0.21,16.3,3.44,13.83,41,52.66666667,5
498,3579,795,4,9/14/2021,JUCO 3,Starter,3.35,3.38,13.7,13.83,50,50,51,,,,,,,,61,61,60,57,64,59,52.3,12.2,71,1.58,0.17,16.3,3.365,13.765,50.33333333,60.66666667,4
499,3580,795,4,9/14/2021,JUCO 3,Starter,3.26,3.31,13.06,13.9,45,47,51,,,,2.22,2.25,2.25,,68,60,67,56,51,80,55.6,29.2,70,2.26,0.13,21.3,3.285,13.48,47.66666667,65,5
503,3584,795,4,9/14/2021,JUCO 3,Impact Player,2.99,2.93,12.23,12.42,60,59,60,,,,,,,,65,61,63,51,54,70,63.5,15.7,66,2.56,0.15,20.6,2.96,12.325,59.66666667,63,4
504,3585,795,4,9/14/2021,JUCO 3,Starter,3.22,3.26,13.28,13.21,53,53,54,,,,,,,,63,60,57,32,44,53,54.2,10.1,48,1.67,0.17,17.2,3.24,13.245,53.33333333,60,4
505,3586,795,4,9/14/2021,JUCO 3,Impact Player,3.11,3.11,12.46,12.51,52,53,54,,,,,,,,63,64,62,61,49,66,57,14.7,75,2.05,0.16,17,3.11,12.485,53,63,4
506,3587,795,4,9/14/2021,JUCO 3,Starter,3.33,3.29,13.48,13.82,,45,43,,,,,,,,55,56,51,61,67,43,46.6,5.7,74,1.21,0.18,14.4,3.31,13.65,44,54,4
507,3574,795,4,9/14/2021,JUCO 3,Starter,3.32,3.33,13.64,13.88,55,55,57,,,,,,,,58,67,62,72,32,70,57.1,16.1,86,1.88,0.16,19,3.325,13.76,55.66666667,62.33333333,4
508,3713,796,4,9/17/2021,JUCO 3,Role Player,3.29,3.25,12.86,,57,57,56,,,,2.32,2.22,,,47,62,63,73,46,53,56.1,10.2,87,1.82,0.17,18.2,3.27,12.86,56.66666667,57.33333333,5
509,3714,796,4,9/17/2021,JUCO 3,Impact Player,3.35,3.36,13.32,,61,60,62,,,,,,,,64,64,62,69,55,63,58.7,13.8,83,2.01,0.16,18.9,3.355,13.32,61,63.33333333,4
511,3716,796,4,9/17/2021,JUCO 3,Starter,3.64,3.72,15.33,,45,48,47,,,,,,,,37,53,54,78,28,49,49.2,8.7,94,1.48,0.16,15.9,3.68,15.33,46.66666667,48,4
512,3717,796,4,9/17/2021,JUCO 3,Starter,3.29,3.39,13.46,,47,49,49,,,,,,,,58,51,36,56,44,46,55.9,7.8,70,1.79,0.17,17.5,3.34,13.46,48.33333333,48.33333333,4
513,3718,796,4,9/17/2021,JUCO 3,Starter,3.31,3.25,13.39,,46,49,49,,,,,,,,62,61,60,66,44,50,52.7,9.1,81,1.59,0.16,18.8,3.28,13.39,48,61,4
514,3719,796,4,9/17/2021,JUCO 3,Impact Player,3.21,3.24,13.06,,49,48,49,,,,2.5,2.4,,,59,43,49,54,70,59,51.6,12.3,69,1.5,0.17,17,3.225,13.06,48.66666667,50.33333333,5
515,3720,796,4,9/17/2021,JUCO 3,Role Player,3.43,3.56,14.55,,45,46,47,,,,,,,,44,48,47,61,60,55,51.3,11,76,1.56,0.17,14.9,3.495,14.55,46,46.33333333,4
516,3721,796,4,9/17/2021,JUCO 3,Role Player,3.27,3.35,13.41,,41,43,44,,,,,,,,48,53,51,66,60,35,46.5,4.2,81,1.01,0.2,17.2,3.31,13.41,42.66666667,50.66666667,4
517,3722,796,4,9/17/2021,JUCO 3,Starter,2.96,3.04,11.59,,51,51,52,,,,,,,,61,65,61,58,57,43,57.1,7,73,2.02,0.16,17.7,3,11.59,51.33333333,62.33333333,4
518,10991,796,4,9/17/2021,JUCO 3,Impact Player,3.17,3.17,12.07,,64,64,65,,,,,,,,71,70,70,,,,,,,,,,3.17,12.07,64.33333333,70.33333333,4
519,3724,796,4,9/17/2021,JUCO 3,Role Player,3.55,3.55,14.26,,49,50,50,,,,,,,,48,66,57,47,57,54,56.2,10.7,62,1.89,0.16,15.3,3.55,14.26,49.66666667,57,4
520,10992,796,4,9/17/2021,JUCO 3,Role Player,3.82,3.79,15.67,,48,54,53,,,,,,,,44,59,46,,,,,,,,,,3.805,15.67,51.66666667,49.66666667,4
522,3727,796,4,9/17/2021,JUCO 3,Starter,3.45,3.39,12.79,,56,55,57,,,,,,,,64,66,59,38,42,42,59.7,6.5,53,2.12,0.17,17.7,3.42,12.79,56,63,4
523,3728,796,4,9/17/2021,JUCO 3,Starter,3.91,3.96,15.14,,50,52,52,,,,,,,,58,52,46,41,64,36,60.7,4.7,56,1.98,0.18,19.1,3.935,15.14,51.33333333,52,4
524,3729,796,4,9/17/2021,JUCO 3,Role Player,3.64,3.54,14.52,,58,52,51,,,,2.72,2.63,,,46,44,41,70,36,41,50.6,6.1,84,1.29,0.19,15.2,3.59,14.52,53.66666667,43.66666667,5
526,10988,796,4,9/17/2021,JUCO 3,Impact Player,3.28,3.29,12.76,,50,52,50,,,,,,,,47,45,40,,,,,,,,,,3.285,12.76,50.66666667,44,4
527,10989,796,4,9/17/2021,JUCO 3,Role Player,3.4,3.61,14.86,,43,47,48,,,,,,,,50,44,49,,,,,,,,,,3.505,14.86,46,47.66666667,4
528,3733,796,4,9/17/2021,JUCO 3,Starter,2.92,2.94,11.48,,57,58,58,,,,,,,,63,55,53,46,62,60,54.1,12.6,61,1.85,0.16,18.4,2.93,11.48,57.66666667,57,4
704,3549,806,4,9/12/2021,NAIA,Role Player,3.23,,12.86,,55,57,50,58,,,,,,,66,65,,73,51,79,55,20.3,87,1.98,0.15,18.1,3.23,12.86,55,65.5,4
705,3550,806,4,9/12/2021,NAIA,Starter,3.19,,12.21,,52,52,49,52,,,,,,,60,59,,52,59,58,58.2,10.6,65,1.78,0.18,18.7,3.19,12.21,51.25,59.5,4
706,3551,806,4,9/12/2021,NAIA,Role Player,3.14,,12.06,,57,54,47,47,,,,,,,63,62,,64,34,70,54.8,15,77,1.65,0.18,19.2,3.14,12.06,51.25,62.5,4
708,3553,806,4,9/12/2021,NAIA,Role Player,3.27,,13.23,,52,49,43,43,,,,,,,63,60,,41,48,43,57.5,5.7,53,1.69,0.19,18.7,3.27,13.23,46.75,61.5,4
710,3555,806,4,9/12/2021,NAIA,Role Player,3.24,,13.23,,52,53,58,58,,,,,,,57,57,,67,50,48,55.6,7.3,81,1.69,0.18,16.3,3.24,13.23,55.25,57,4
711,3556,806,4,9/12/2021,NAIA,Starter,3.46,,13.92,,53,54,53,57,,,,,,,59,58,,60,70,52,49.6,8.5,73,1.38,0.18,14.8,3.46,13.92,54.25,58.5,4
715,3560,806,4,9/12/2021,NAIA,Starter,3.18,,12.26,,50,51,57,56,,,,,,,61,57,,79,40,52,53.5,8.5,94,1.7,0.17,18.3,3.18,12.26,53.5,59,4
716,3561,806,4,9/12/2021,NAIA,Starter,3.3,,13.52,,53,54,54,55,,,,,,,61,43,,48,57,48,54,7.4,61,1.59,0.17,15.4,3.3,13.52,54,52,4
718,3563,806,4,9/12/2021,NAIA,Starter,3.1,,12.79,,48,47,50,51,,,,,,,61,61,,65,29,66,55.2,13.4,78,1.88,0.15,16.2,3.1,12.79,49,61,4
719,3564,806,4,9/12/2021,NAIA,Impact Player,3.8,,15.69,,52,51,36,36,,,,,,,69,63,,60,53,66,59.3,13.5,73,2.05,0.16,18.9,3.8,15.69,43.75,66,4
720,3565,806,4,9/12/2021,NAIA,Role Player,3.62,,14.31,,55,54,56,55,,,,,,,71,71,,39,49,50,59.4,8,52,1.9,0.17,15.4,3.62,14.31,55,71,4
722,3567,806,4,9/12/2021,NAIA,Role Player,3.23,,12.91,,49,50,50,50,,,,,,,61,61,,63,38,58,55.7,10.6,76,1.87,0.16,15.6,3.23,12.91,49.75,61,4
723,3568,806,4,9/12/2021,NAIA,Role Player,3.41,,13.42,,52,54,53,53,,,,,,,65,64,,57,56,60,56.2,11.3,70,1.81,0.17,17.7,3.41,13.42,53,64.5,4
725,3570,806,4,9/12/2021,NAIA,Impact Player,3.32,,13.41,,43,48,42,44,,,,,,,60,58,,54,60,65,56.6,12.9,67,1.93,0.16,18,3.32,13.41,44.25,59,4
728,4525,807,4,10/15/2021,NAIA,Role Player,3.13,3.15,13.88,13.67,54,54,51,53,50,54,,,,,54,57,65,56,66,51,56.5,8.2,69,1.62,0.2,18.6,3.14,13.775,52.66666667,58.66666667,4
729,4526,807,4,10/15/2021,NAIA,Role Player,3.11,3.05,13.03,12.94,57,58,57,58,61,60,2.16,1.88,1.9,1.85,64,63,50,42,38,48,64.1,7.3,54,2.16,0.19,17.3,3.08,12.985,58.5,59,5
730,4527,807,4,10/15/2021,NAIA,Starter,3.05,2.91,12.45,12.54,56,57,57,57,55,57,,,,,64,65,65,59,51,59,61.4,10.8,72,2.11,0.17,16.9,2.98,12.495,56.5,64.66666667,4
731,4528,807,4,10/15/2021,NAIA,Role Player,2.96,2.88,13,13.45,40,40,37,30,41,40,,,,,63,68,69,45,40,54,55.6,9.2,58,1.68,0.18,16.9,2.92,13.225,38,66.66666667,4
732,4529,807,4,10/15/2021,NAIA,Starter,2.94,2.91,12.75,13.01,55,54,54,53,53,54,,,,,56,60,61,57,37,53,55.5,8.9,70,1.63,0.19,18.2,2.925,12.88,53.83333333,59,4
734,4531,807,4,10/15/2021,NAIA,Role Player,3.23,3.17,13.58,13.98,41,46,50,49,49,52,2.2,2.1,1.98,2.41,57,56,44,66,56,49,53.9,7.8,79,1.56,0.18,17.5,3.2,13.78,47.83333333,52.33333333,5
736,4533,807,4,10/15/2021,NAIA,Role Player,3.14,3.15,13.47,13.48,50,53,52,51,51,49,,,,,59,61,58,62,63,45,51,7.7,76,1.3,0.2,16.7,3.145,13.475,51,59.33333333,4
737,4534,807,4,10/15/2021,NAIA,Starter,2.71,2.7,11.42,11.46,51,51,52,50,53,54,,,,,55,62,62,64,66,52,54.4,8.7,77,1.63,0.18,17.5,2.705,11.44,51.83333333,59.66666667,4
739,4536,807,4,10/15/2021,NAIA,Role Player,3.07,3.12,13.24,13.22,50,49,47,49,49,52,,,,,61,57,61,52,40,71,51.6,14.9,65,1.55,0.17,20.4,3.095,13.23,49.33333333,59.66666667,4
740,4537,807,4,10/15/2021,NAIA,Starter,3.24,3.19,13.6,13.58,55,55,56,55,51,56,,,,,62,75,66,51,48,45,59.9,6.5,64,1.95,0.19,19.4,3.215,13.59,54.66666667,67.66666667,4
742,4539,807,4,10/15/2021,NAIA,Role Player,3.03,2.93,12.73,12.6,51,53,53,56,55,55,1.93,2.06,1.87,1.89,57,62,68,64,47,41,57.3,5.1,77,1.92,0.17,16.6,2.98,12.665,53.83333333,62.33333333,5
743,4540,807,4,10/15/2021,NAIA,Starter,3.06,3.14,12.95,12.84,57,57,57,57,56,57,,,,,53,53,54,44,47,45,55.1,6.2,56,1.62,0.18,16,3.1,12.895,56.83333333,53.33333333,4
744,4541,807,4,10/15/2021,NAIA,Role Player,3.06,3.02,13.3,13.42,49,50,51,50,50,50,,,,,57,55,57,46,32,59,57.9,10.9,59,1.9,0.17,18.8,3.04,13.36,50,56.33333333,4
745,4542,807,4,10/15/2021,NAIA,Starter,2.85,2.84,11.75,12.15,63,61,62,63,64,65,,,,,65,56,56,69,48,67,61.9,13.6,83,2.35,0.16,20.5,2.845,11.95,63,59,4
746,4543,807,4,10/15/2021,NAIA,Starter,3.01,3.04,13,13.45,56,56,54,56,57,57,1.89,1.95,1.86,2.1,63,70,70,50,45,72,61.6,16,63,2.37,0.16,23.9,3.025,13.225,56,67.66666667,5
824,1365,811,4,9/29/2021,Division 3,Role Player,3.37,3.37,13.66,,49,48,47,,,,2.13,2.12,2.22,2.19,60,61,60,71,47,80,52.6,24.8,85,1.97,0.14,16.9,3.37,13.66,48,60.33333333,5
825,1365,811,4,9/29/2021,Division 3,Role Player,3.37,3.37,13.66,,49,48,47,,,,2.13,2.12,2.22,2.19,60,61,60,68,48,80,53.8,28.9,82,2.04,0.14,17.7,3.37,13.66,48,60.33333333,5
826,1356,811,4,9/29/2021,Division 3,Role Player,3.17,3.16,12.67,,49,48,49,,,,2.22,2.16,2.09,2.02,61,64,61,68,52,53,53.9,8.8,82,1.66,0.18,17,3.165,12.67,48.66666667,62,5
827,1356,811,4,9/29/2021,Division 3,Role Player,3.17,3.16,12.67,,49,48,49,,,,2.22,2.16,2.09,2.02,61,64,61,60,52,47,58.2,6.8,73,1.82,0.19,17,3.165,12.67,48.66666667,62,5
828,4252,811,4,9/29/2021,Division 3,Role Player,2.96,2.99,12.15,,53,54,54,,,,,,,,60,61,61,71,64,56,56.8,10,84,1.97,0.16,18,2.975,12.15,53.66666667,60.66666667,4
829,1358,811,4,9/29/2021,Division 3,Role Player,3.01,2.98,12.2,12.37,48,50,50,,,,,,,,60,58,55,67,69,62,53,12,81,1.6,0.17,17.2,2.995,12.285,49.33333333,57.66666667,4
830,1355,811,4,9/29/2021,Division 3,Starter,3.35,3.29,13.15,13.23,55,56,55,,,,,,,,59,57,53,70,69,62,54.5,11.8,83,1.77,0.16,18,3.32,13.19,55.33333333,56.33333333,4
831,1355,811,4,9/29/2021,Division 3,Starter,3.35,3.29,13.15,13.23,55,56,55,,,,,,,,59,57,53,69,60,60,53.7,11.2,82,1.7,0.17,17.8,3.32,13.19,55.33333333,56.33333333,4
832,1364,811,4,9/29/2021,Division 3,Role Player,3.11,3.02,12.4,12.4,54,54,55,,,,,,,,61,58,61,77,53,51,54.2,8.3,92,1.64,0.17,16.8,3.065,12.4,54.33333333,60,4
833,1364,811,4,9/29/2021,Division 3,Role Player,3.11,3.02,12.4,12.4,54,54,55,,,,,,,,61,58,61,76,58,54,56.2,9.1,90,1.81,0.16,17.2,3.065,12.4,54.33333333,60,4
