,CSE_PlayerID,CSE_EventID,Bucket,Date,CollegeDivision,CollegePlayerType,Obj_FootSpeed_H11,Obj_FootSpeed_H12,Obj_FootSpeed_HH1,Obj_FootSpeed_HH2,Obj_ArmVelo_Throw1,Obj_ArmVelo_Throw2,Obj_ArmVelo_Throw3,Obj_ArmVelo_Throw4,Obj_ArmVelo_Throw5,Obj_ArmVelo_Throw6,Obj_PopTime_Throw1,Obj_PopTime_Throw2,Obj_PopTime_Throw3,Obj_PopTime_Throw4,Obj_ExitVelo_Swing1,Obj_ExitVelo_Swing2,Obj_ExitVelo_Swing3,Plane,Connection,Rotation,BatSpeed,RotationalAcceleration,OnPlaneEfficiency,Power,TimeToContact,PeakHandSpeed,H1,HH,armVelo,exitVelo,notEmpty
216,1372,781,4,10/6/2021,Division 3,Impact Player,3.24,3.2,13.19,,52,55,55,,,,2,2.03,2.09,2.04,55,56,59,56,44,53,51.7,9,69,1.57,0.17,14,3.22,13.19,54,56.66666667,5
217,1372,781,4,10/6/2021,Division 3,Impact Player,3.24,3.2,13.19,,52,55,55,,,,2,2.03,2.09,2.04,55,56,59,60,52,66,54.5,13.1,73,1.85,0.16,17,3.22,13.19,54,56.66666667,5
220,1371,781,4,10/6/2021,Division 3,Impact Player,3.25,3.13,12.53,,53,54,56,,,,,,,,60,57,54,48,47,47,56,7.1,61,1.72,0.18,16.5,3.19,12.53,54.33333333,57,4
221,1371,781,4,10/6/2021,Division 3,Impact Player,3.25,3.13,12.53,,53,54,56,,,,,,,,60,57,54,47,44,50,59.6,8,60,2.11,0.17,17.6,3.19,12.53,54.33333333,57,4
222,1376,781,4,10/6/2021,Division 3,Starter,3.49,3.48,14.1,,53,53,52,,,,2,1.93,1.88,1.88,61,54,55,60,52,62,60.4,12,73,2.39,0.15,19,3.485,14.1,52.66666667,56.66666667,5
223,1376,781,4,10/6/2021,Division 3,Starter,3.49,3.48,14.1,,53,53,52,,,,2,1.93,1.88,1.88,61,54,55,55,53,56,57.7,9.8,68,2.04,0.16,18.7,3.485,14.1,52.66666667,56.66666667,5
224,1379,781,4,10/6/2021,Division 3,Starter,3.72,3.72,15.79,,50,51,52,,,,,,,,55,47,56,52,45,61,58.3,11.6,65,2.02,0.17,17.7,3.72,15.79,51,52.66666667,4
225,1379,781,4,10/6/2021,Division 3,Starter,3.72,3.72,15.79,,50,51,52,,,,,,,,55,47,56,46,42,52,58.7,8.6,58,1.92,0.18,17.1,3.72,15.79,51,52.66666667,4
229,1378,781,4,10/6/2021,Division 3,Impact Player,3.57,3.53,14.54,,50,50,52,,,,,,,,60,60,55,56,63,58,50,10.7,69,1.42,0.17,14.8,3.55,14.54,50.66666667,58.33333333,4
230,1378,781,4,10/6/2021,Division 3,Impact Player,3.57,3.53,14.54,,50,50,52,,,,,,,,60,60,55,59,69,52,53,8.6,72,1.57,0.18,14.8,3.55,14.54,50.66666667,58.33333333,4
231,1380,781,4,10/6/2021,Division 3,Role Player,3.45,3.26,12.94,,53,54,54,,,,,,,,48,53,46,61,49,49,51.7,7.5,74,1.4,0.18,15.7,3.355,12.94,53.66666667,49,4
232,1380,781,4,10/6/2021,Division 3,Role Player,3.45,3.26,12.94,,53,54,54,,,,,,,,48,53,46,50,54,49,52.4,7.7,62,1.34,0.19,17.4,3.355,12.94,53.66666667,49,4
234,4509,781,4,10/6/2021,Division 3,Impact Player,3.03,2.98,12.11,,59,60,62,,,,,,,,57,57,58,46,42,61,64,11.7,58,2.36,0.17,19.3,3.005,12.11,60.33333333,57.33333333,4
235,4510,781,4,10/6/2021,Division 3,Role Player,3.42,3.35,13.74,,49,50,50,,,,,,,,57,48,63,66,52,57,53.9,10.4,80,1.66,0.17,17.6,3.385,13.74,49.66666667,56,4
236,4511,781,4,10/6/2021,Division 3,Impact Player,3.06,3.04,12.34,,57,59,59,,,,,,,,62,69,69,67,49,59,56.3,10.9,80,1.91,0.16,17.8,3.05,12.34,58.33333333,66.66666667,4
238,4513,781,4,10/6/2021,Division 3,Role Player,3.15,3.16,13.33,,48,47,49,,,,,,,,47,32,43,58,55,35,50.3,3,71,1.21,0.2,15.3,3.155,13.33,48,40.66666667,4
239,4514,781,4,10/6/2021,Division 3,Impact Player,3.18,3.15,13.36,,51,53,54,,,,,,,,66,67,67,61,54,51,59.5,8.3,74,1.98,0.18,19,3.165,13.36,52.66666667,66.66666667,4
240,4515,781,4,10/6/2021,Division 3,Starter,2.92,2.83,11.8,,51,52,53,,,,,,,,48,48,56,79,48,76,54.8,16.9,93,1.84,0.16,18.1,2.875,11.8,52,50.66666667,4
242,4517,781,4,10/6/2021,Division 3,Starter,3.09,3.1,12.57,,51,54,54,,,,2.06,2.09,2,1.96,51,51,51,65,68,40,52.9,4.4,78,1.53,0.18,16.2,3.095,12.57,53,51,5
243,4518,781,4,10/6/2021,Division 3,Starter,3.12,3.11,12.3,,52,53,52,,,,,,,,64,50,51,71,39,55,53.9,9.5,85,1.73,0.16,19.6,3.115,12.3,52.33333333,55,4
244,4519,781,4,10/6/2021,Division 3,Role Player,3.19,2.97,12.14,,55,51,53,,,,,,,,51,50,51,54,47,52,53.7,8.7,67,1.61,0.17,16.7,3.08,12.14,53,50.66666667,4
245,4520,781,4,10/6/2021,Division 3,Role Player,3.11,3.13,13.01,,46,47,49,,,,,,,,50,55,53,41,49,44,50.4,5.8,53,1.25,0.19,15.2,3.12,13.01,47.33333333,52.66666667,4
246,4521,781,4,10/6/2021,Division 3,Role Player,3.51,3.43,14.46,,48,48,49,,,,2.16,2.09,2.07,2.13,51,49,36,39,47,53,62.3,8.9,51,2.08,0.19,16.4,3.47,14.46,48.33333333,45.33333333,5
248,4523,781,4,10/6/2021,Division 3,Impact Player,3.16,3.1,12.46,,60,62,63,,,,,,,,59,63,61,73,46,46,57.2,6.7,87,1.9,0.17,17.2,3.13,12.46,61.66666667,61,4
249,4524,781,4,10/6/2021,Division 3,Role Player,3.39,3.28,14.01,,49,51,50,,,,,,,,54,55,54,62,67,52,50.4,8.8,75,1.39,0.18,16.6,3.335,14.01,50,54.33333333,4
432,3617,791,4,9/15/2021,Division 3,Starter,3.35,,12.53,,55,57,57,56,55,56,,,,,60,62,67,67,49,35,57.3,4.2,82,1.7,0.19,17,3.35,12.53,56,63,4
435,3620,791,4,9/15/2021,Division 3,Starter,3.22,,11.01,,55,56,54,55,55,56,1.85,2.23,2.14,2.04,63,60,68,61,55,78,59.1,22,75,2.07,0.17,21.5,3.22,11.01,55.16666667,63.66666667,5
436,3621,791,4,9/15/2021,Division 3,Starter,3.43,,12.62,,57,58,56,58,57,55,2.12,2.26,2.18,2.23,61,61,61,44,63,57,61,11.8,59,2.09,0.17,16.8,3.43,12.62,56.83333333,61,5
439,3624,791,4,9/15/2021,Division 3,Role Player,3.55,,12.46,,54,56,56,54,53,55,,,,,58,58,59,66,47,54,59.5,10.6,80,2.08,0.17,18.8,3.55,12.46,54.66666667,58.33333333,4
440,3625,791,4,9/15/2021,Division 3,Role Player,3.36,,12.12,,55,53,54,53,55,54,,,,,56,58,66,63,61,50,51,9.3,77,1.37,0.19,15.7,3.36,12.12,54,60,4
441,3626,791,4,9/15/2021,Division 3,Role Player,3.11,,11.09,,55,56,55,55,56,55,,,,,54,52,55,71,55,53,53.2,10.2,85,1.68,0.16,16.1,3.11,11.09,55.33333333,53.66666667,4
442,3627,791,4,9/15/2021,Division 3,Starter,3.41,,11.24,,55,53,53,56,56,55,,,,,55,44,58,64,69,71,56,16.2,79,1.89,0.16,17.2,3.41,11.24,54.66666667,52.33333333,4
443,3628,791,4,9/15/2021,Division 3,Role Player,3.21,,11.96,,55,53,54,55,54,53,,,,,53,53,62,79,40,46,50.9,7.9,94,1.53,0.17,16.6,3.21,11.96,54,56,4
446,3631,791,4,9/15/2021,Division 3,Role Player,3.73,,12.95,,44,38,40,41,43,39,,,,,62,53,60,31,43,36,59.1,4.5,47,1.84,0.19,17,3.73,12.95,40.83333333,58.33333333,4
447,3632,791,4,9/15/2021,Division 3,Starter,3.48,,12.03,,56,54,56,55,54,56,,,,,53,49,50,64,49,47,52.4,8.1,78,1.54,0.18,15.8,3.48,12.03,55.16666667,50.66666667,4
